regime,entry_rule,exit_rule,entry_prob_mode,exit_prob_mode,score_mode,entry_threshold,exit_threshold,entry_score_threshold,exit_score_threshold,min_hold_bars,soft_exit_confirm_bars,urgent_exit_prob,urgent_exit_delta,max_hold_bars,same_side_reentry_cooldown_bars,profit_protect_arm_atr,profit_protect_giveback_long,profit_protect_giveback_short,long_entries,long_exits,short_entries,short_exits,long_equity_end,short_equity_end,combined_full_gross_end,net_1x_end,buy_hold_end,overall_closed_trades,overall_win_rate,overall_avg_price_move,overall_median_price_move,overall_avg_return_frac,overall_avg_atr_capture,overall_median_atr_capture,overall_avg_mfe_atr,overall_avg_capture_ratio,overall_median_capture_ratio,overall_pct_capture_ge_0_50,overall_avg_giveback_atr,overall_avg_hold_minutes,long_closed_trades,long_win_rate,long_avg_price_move,long_median_price_move,long_avg_return_frac,long_avg_atr_capture,long_median_atr_capture,long_avg_mfe_atr,long_avg_capture_ratio,long_median_capture_ratio,long_pct_capture_ge_0_50,long_avg_giveback_atr,long_avg_hold_minutes,short_closed_trades,short_win_rate,short_avg_price_move,short_median_price_move,short_avg_return_frac,short_avg_atr_capture,short_median_atr_capture,short_avg_mfe_atr,short_avg_capture_ratio,short_median_capture_ratio,short_pct_capture_ge_0_50,short_avg_giveback_atr,short_avg_hold_minutes,exit_reason_forced_end_count,exit_reason_max_hold_count,exit_reason_profit_protect_count,exit_reason_score_exit_count,exit_reason_soft_exit_count,exit_reason_threshold_exit_count,exit_reason_urgent_exit_delta_count,exit_reason_urgent_exit_prob_count,rank_combined_full_gross,rank_net_1x,rank_capture_ratio
net_edge_entry_exit_next_open,score,score,raw,raw,net_edge,0.5,0.65,0.05,0.0,2.0,2.0,0.85,0.3,,0.0,,,,574.0,574.0,518.0,518.0,8.759426124617015,7.61386498674696,15.373291111363976,66.80355310990407,1.1699673635624197,1092.0,0.9688644688644689,2.3923626373626368,1.5300000000000296,0.003859935873022894,2.359383587764723,1.6105848453520601,3.0750130859869236,0.6544987954365457,0.7861562018271067,0.8186813186813187,0.7156294982222009,501.9432234432234,574.0,0.9738675958188153,2.3422212543553997,1.5775000000000432,0.003801118946776416,2.2779436251816167,1.6706379417020774,2.9121361477737193,0.6611790307940173,0.8109397565504533,0.8449477351916377,0.6341925225921022,524.6550522648083,518.0,0.9633204633204633,2.44792471042471,1.4650000000000318,0.003925111385890611,2.4498024243656955,1.4904124855699672,3.25584744291996,0.6470963724728609,0.7484596558391249,0.7895752895752896,0.806045018554264,476.7760617760618,1.0,0.0,0.0,1091.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0
hybrid_entry55_next_open,threshold,hybrid,raw,raw,entry_diff,0.55,0.65,0.1,0.0,2.0,2.0,0.85,0.3,,0.0,,,,644.0,644.0,604.0,604.0,8.780317128335854,7.496876283405654,15.277193411741507,65.88245816407144,1.1699673635624197,1248.0,0.9727564102564102,2.086101762820512,1.3525000000000205,0.003367233118019304,2.0296419349549994,1.4863263534313678,2.688644515136687,0.6590515776023577,0.7777777777777459,0.8221153846153846,0.6590025801816874,413.4791666666667,644.0,0.968944099378882,2.0890760869565193,1.3999999999999773,0.003390276669350462,1.9911614061238037,1.5423886238805413,2.5849598650356618,0.6608862115593508,0.8140134902630397,0.8229813664596274,0.593798458911858,442.91614906832297,604.0,0.9768211920529801,2.0829304635761603,1.287499999999966,0.003342663503686082,2.0707388844861607,1.4140422652868665,2.7993790336525417,0.6570954447078154,0.7332448781960059,0.8211920529801324,0.7286401491663808,382.0927152317881,1.0,0.0,0.0,0.0,469.0,0.0,368.0,410.0,2.0,2.0,8.0
fast_exit_next_open_hybrid,threshold,hybrid,raw,raw,entry_diff,0.5,0.65,0.1,0.0,2.0,1.0,0.8,0.2,,0.0,,,,756.0,756.0,696.0,696.0,8.763237677790777,7.436393737005999,15.199631414796777,65.20695521469175,1.1699673635624197,1452.0,0.9641873278236914,1.7889979338842965,1.1399999999999864,0.0028871240102190765,1.7447584250729027,1.2446417225550541,2.271366836382783,0.6687629365915736,0.8143712574850304,0.8209366391184573,0.5266084113098803,344.3236914600551,756.0,0.9576719576719577,1.7788425925925888,1.1899999999999977,0.00288332810967844,1.6933377052466556,1.2440482253191476,2.1816222989497156,0.6639393226993993,0.8454281567489197,0.8346560846560847,0.4882845937030599,374.3452380952381,696.0,0.9712643678160919,1.800028735632186,1.0725000000000477,0.00289124714356494,1.8006923303803017,1.2457168326874044,2.3689882324970255,0.673995448787826,0.7782331511839751,0.8060344827586207,0.568295902116724,311.7140804597701,1.0,0.0,0.0,0.0,765.0,0.0,307.0,379.0,3.0,3.0,7.0
slow_exit_next_open_hybrid,threshold,hybrid,raw,raw,entry_diff,0.5,0.65,0.1,0.0,2.0,3.0,0.9,0.35,,0.0,,,,587.0,587.0,548.0,548.0,8.726749474008487,7.445862042725901,15.172611516734388,65.08722461504563,1.1699673635624197,1135.0,0.9709251101321585,2.2887533039647576,1.5,0.003691590379644754,2.2153447490651534,1.6094788867620933,2.9270276959337753,0.6350146816304741,0.7604166666666722,0.8229074889867841,0.7116829468686219,480.2026431718062,587.0,0.9642248722316865,2.287844974446337,1.5849999999999227,0.0037104605412639773,2.1567254388925168,1.612139292743027,2.8207849686947046,0.6332301036402762,0.7916666666666745,0.8330494037478705,0.6640595298021874,518.0851788756388,548.0,0.9781021897810219,2.2897262773722633,1.4349999999999454,0.0036713772685672275,2.278250663272352,1.5682768740969013,3.0410395439947164,0.6369262642586608,0.7183615036482466,0.8120437956204379,0.7627888807223641,439.6240875912409,1.0,0.0,0.0,0.0,264.0,0.0,534.0,336.0,4.0,4.0,13.0
diff_entry_next_open_hybrid,score,hybrid,raw,raw,entry_diff,0.5,0.65,0.15,0.0,2.0,2.0,0.85,0.3,,0.0,,,,647.0,647.0,610.0,610.0,8.72994493086651,7.393996013655534,15.123940944522044,64.61255587425033,1.1699673635624197,1257.0,0.9689737470167065,2.063945902943516,1.3299999999999272,0.003327863379911713,1.999113684570699,1.4753242483579563,2.665979621406533,0.6755216219152742,0.7688838782412453,0.8146380270485283,0.6668659368358342,415.6738265712013,647.0,0.9659969088098919,2.077527047913443,1.3799999999999955,0.003365389855402628,1.9715865596338817,1.5324916579566836,2.585926403605831,0.702744347431692,0.807909604519754,0.8207109737248841,0.6143398439719492,446.61360123647603,610.0,0.9721311475409836,2.0495409836065592,1.2625000000000455,0.0032880607083664313,2.0283584297827195,1.4012488113152421,2.7510279496775576,0.6466476819003196,0.7297285615491138,0.8081967213114755,0.7226695198948383,382.85737704918034,1.0,0.0,0.0,0.0,441.0,0.0,399.0,416.0,5.0,5.0,6.0
baseline_next_open_hybrid,threshold,hybrid,raw,raw,entry_diff,0.5,0.65,0.1,0.0,2.0,2.0,0.85,0.3,,0.0,,,,651.0,651.0,610.0,610.0,8.722150452711467,7.3416534425874875,15.063803895298953,64.10082589485505,1.1699673635624197,1261.0,0.9682791435368755,2.0527240285487705,1.3199999999999363,0.0033110058126474043,1.9877009674223793,1.4683148954319654,2.6552259271838285,0.6451410267348413,0.7687890137328339,0.8120539254559873,0.6675249597614491,420.92149088025377,651.0,0.9646697388632872,2.0625192012288758,1.375,0.003343372374044889,1.9582443865379642,1.520952112777304,2.573558521727669,0.6445066529475916,0.8072289156626624,0.8172043010752689,0.6153141351897043,456.4347158218126,610.0,0.9721311475409836,2.0422704918032806,1.2524999999999977,0.0032764637938445147,2.0191890366436507,1.4012488113152421,2.7425255674990336,0.6458180387602506,0.7284886587771335,0.8065573770491803,0.7233365308553832,383.02131147540985,1.0,0.0,0.0,0.0,442.0,0.0,401.0,417.0,6.0,6.0,10.0
hybrid_entry45_next_open,threshold,hybrid,raw,raw,entry_diff,0.45,0.65,0.1,0.0,2.0,2.0,0.85,0.3,,0.0,,,,669.0,669.0,625.0,625.0,8.778761722948301,7.209584931184985,14.988346654133286,63.374881766147894,1.1699673635624197,1294.0,0.9636785162287481,1.9937480680061817,1.2450000000000045,0.0032178466921949944,1.9338060119308556,1.4027838687410707,2.607246848499685,0.63549388855318,0.7688364459870396,0.8052550231839258,0.6734408365688291,423.2952086553323,669.0,0.9596412556053812,2.0128550074738385,1.3100000000000591,0.00326311499297502,1.9160326597585098,1.4534059696251327,2.5321728963840333,0.6360131067603866,0.8072289156626624,0.8146487294469357,0.6161402366255231,451.88191330343795,625.0,0.968,1.9732960000000022,1.17999999999995,0.003169391503040056,1.9528610962310158,1.344154180791145,2.6877347875467543,0.634938117384186,0.718204488778027,0.7952,0.7348736913157392,392.696,1.0,0.0,0.0,0.0,435.0,0.0,433.0,425.0,7.0,7.0,12.0
profit_protect_next_open,threshold,hybrid,raw,raw,entry_diff,0.5,0.65,0.1,0.0,2.0,2.0,0.85,0.3,,0.0,2.0,0.75,1.0,717.0,717.0,670.0,670.0,7.651311475282562,6.9778447288931496,13.629156204175711,53.43911997378955,1.1699673635624197,1386.0,0.9660894660894661,1.787615440115439,1.2025000000000432,0.002875833849579992,1.7455885476259634,1.3781953076204685,2.3334064289958087,0.6411467994651252,0.7578558225508405,0.8333333333333334,0.5878178813698453,370.1125541125541,717.0,0.9623430962343096,1.767099023709899,1.294999999999959,0.002847393955867895,1.7292733984263473,1.3967612241026803,2.267661897424895,0.6353648271153899,0.7844645550528704,0.8521617852161785,0.5383884989985479,399.860529986053,669.0,0.9701046337817638,1.8096038863976105,1.1399999999999864,0.0029063142737826434,1.7630760428758514,1.3421994555909325,2.4038751185239136,0.6473176937217933,0.7234042553191523,0.8131539611360239,0.6407990756480623,338.2301943198804,1.0,0.0,422.0,0.0,439.0,0.0,362.0,163.0,8.0,8.0,11.0
threshold_exit_next_open_55,threshold,threshold,raw,raw,entry_diff,0.5,0.55,0.1,0.0,2.0,2.0,0.85,0.3,,0.0,,,,516.0,516.0,460.0,460.0,8.128795374409332,6.446784455605785,13.575579830015117,52.559495698921836,1.1699673635624197,976.0,0.9559426229508197,2.5280225409836063,1.6575000000000273,0.0040742066419353585,2.4629517339441485,1.726931210930229,3.261517384910132,0.5918918588513691,0.7506761221584128,0.8063524590163934,0.7985656509659836,602.358606557377,516.0,0.9593023255813954,2.5156298449612393,1.6875,0.00408441040017907,2.4426930156569133,1.7233618137685265,3.145523690449761,0.6000415275549745,0.7780474649406308,0.8313953488372093,0.7028306747928478,597.3662790697674,460.0,0.9521739130434783,2.5419239130434783,1.615000000000009,0.004062760687035891,2.485726240776857,1.731523355500357,3.391915525087804,0.5827500565664551,0.7027248015815387,0.7782608695652173,0.9061892843109466,607.9586956521739,1.0,0.0,0.0,0.0,0.0,975.0,0.0,0.0,9.0,9.0,14.0
ema20_fast_exit_next_open,threshold,hybrid,ema_0p20,ema_0p20,entry_diff,0.5,0.65,0.1,0.0,2.0,1.0,0.8,0.2,,0.0,,,,328.0,328.0,317.0,317.0,7.228520147631674,6.621359692949354,12.849879840581028,47.86280649570018,1.1699673635624197,645.0,0.9875968992248062,3.729062015503877,2.42999999999995,0.006017170504522678,3.8488593000704965,2.555415416425401,4.557342497497709,0.7963027611941168,0.8586123010206275,0.9255813953488372,0.7084831974272119,713.5038759689922,328.0,0.9817073170731707,3.732820121951222,2.5749999999999886,0.006073517083045393,3.670580351870112,2.5907450796663904,4.212029021299923,0.8270375018850651,0.8990825688073298,0.948170731707317,0.5414486694298117,769.1524390243902,317.0,0.9936908517350158,3.7251735015772858,2.25,0.00595886868195028,4.033908334911403,2.509528428375609,4.9157691436776885,0.7645984703236435,0.8205980066445299,0.9022082018927445,0.8818608087662855,655.9242902208202,1.0,0.0,0.0,0.0,555.0,0.0,74.0,15.0,10.0,10.0,1.0
