regime,entry_rule,exit_rule,entry_prob_mode,exit_prob_mode,score_mode,entry_threshold,exit_threshold,entry_score_threshold,exit_score_threshold,min_hold_bars,soft_exit_confirm_bars,urgent_exit_prob,urgent_exit_delta,max_hold_bars,same_side_reentry_cooldown_bars,profit_protect_arm_atr,profit_protect_giveback_long,profit_protect_giveback_short,long_entries,long_exits,short_entries,short_exits,long_equity_end,short_equity_end,combined_full_gross_end,net_1x_end,buy_hold_end,overall_closed_trades,overall_win_rate,overall_avg_price_move,overall_median_price_move,overall_avg_return_frac,overall_avg_atr_capture,overall_median_atr_capture,overall_avg_mfe_atr,overall_avg_capture_ratio,overall_median_capture_ratio,overall_pct_capture_ge_0_50,overall_avg_giveback_atr,overall_avg_hold_minutes,long_closed_trades,long_win_rate,long_avg_price_move,long_median_price_move,long_avg_return_frac,long_avg_atr_capture,long_median_atr_capture,long_avg_mfe_atr,long_avg_capture_ratio,long_median_capture_ratio,long_pct_capture_ge_0_50,long_avg_giveback_atr,long_avg_hold_minutes,short_closed_trades,short_win_rate,short_avg_price_move,short_median_price_move,short_avg_return_frac,short_avg_atr_capture,short_median_atr_capture,short_avg_mfe_atr,short_avg_capture_ratio,short_median_capture_ratio,short_pct_capture_ge_0_50,short_avg_giveback_atr,short_avg_hold_minutes,exit_reason_forced_end_count,exit_reason_max_hold_count,exit_reason_profit_protect_count,exit_reason_score_exit_count,exit_reason_soft_exit_count,exit_reason_threshold_exit_count,exit_reason_urgent_exit_delta_count,exit_reason_urgent_exit_prob_count,rank_combined_full_gross,rank_net_1x,rank_capture_ratio
profit_protect_next_open,threshold,hybrid,raw,raw,entry_diff,0.5,0.65,0.1,0.0,2.0,2.0,0.85,0.3,,0.0,2.0,0.75,1.0,3.0,3.0,1.0,1.0,1.0104259146944183,1.0069593615767813,1.0173852762711997,1.0174578339813252,0.9998313028553831,4.0,1.0,2.957499999999982,2.7524999999999977,0.00433085140883178,1.8005237267946348,1.5250477228606263,2.5033293510789894,0.71084738202711,0.7272150388479073,1.0,0.7028056242843547,82.25,3.0,1.0,2.3583333333333107,2.340000000000032,0.0034637539730285973,1.3387560838076533,1.238934590110757,1.9743324587546338,0.6881732497462165,0.6755602988260243,1.0,0.6355763749469806,46.333333333333336,1.0,1.0,4.7549999999999955,4.7549999999999955,0.006932143716241328,3.1858266557555797,3.1858266557555797,4.090320028052056,0.7788697788697904,0.7788697788697904,1.0,0.9044933722964766,190.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0
threshold_exit_next_open_55,threshold,threshold,raw,raw,entry_diff,0.5,0.55,0.1,0.0,2.0,2.0,0.85,0.3,,0.0,,,,2.0,2.0,1.0,1.0,1.010185286935879,1.006366165709234,1.0165514526451132,1.0166162938695407,0.9998313028553831,3.0,1.0,3.746666666666632,3.9149999999999636,0.005488396115687954,2.2683200269690365,2.0610412395159603,3.1798252293099742,0.7178093063995538,0.7084357084357084,1.0,0.9115052023409373,116.33333333333333,2.0,1.0,3.457499999999982,3.457499999999982,0.0050799630933275886,1.9536156570526426,1.9536156570526426,2.7245778299389327,0.7224961053814765,0.7224961053814765,1.0,0.7709621728862903,75.0,1.0,1.0,4.324999999999932,4.324999999999932,0.006305262160408686,2.897728766801825,2.897728766801825,4.090320028052056,0.7084357084357084,0.7084357084357084,1.0,1.1925912612502314,199.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0
net_edge_entry_exit_next_open,score,score,raw,raw,net_edge,0.5,0.65,0.05,0.0,2.0,2.0,0.85,0.3,,0.0,,,,2.0,2.0,1.0,1.0,1.010185286935879,1.006366165709234,1.0165514526451132,1.0166162938695407,0.9998313028553831,3.0,1.0,3.746666666666632,3.9149999999999636,0.005488396115687954,2.2683200269690365,2.0610412395159603,3.1798252293099742,0.7178093063995538,0.7084357084357084,1.0,0.9115052023409373,116.33333333333333,2.0,1.0,3.457499999999982,3.457499999999982,0.0050799630933275886,1.9536156570526426,1.9536156570526426,2.7245778299389327,0.7224961053814765,0.7224961053814765,1.0,0.7709621728862903,75.0,1.0,1.0,4.324999999999932,4.324999999999932,0.006305262160408686,2.897728766801825,2.897728766801825,4.090320028052056,0.7084357084357084,0.7084357084357084,1.0,1.1925912612502314,199.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0
ema20_next_open_hybrid,threshold,hybrid,ema_0p20,ema_0p20,entry_diff,0.5,0.65,0.1,0.0,2.0,2.0,0.85,0.3,,0.0,,,,1.0,1.0,1.0,1.0,1.008935663224782,1.004834965367651,1.0137706285924328,1.0138138322146624,0.9998313028553831,2.0,1.0,4.677499999999952,4.677499999999952,0.006862376721824339,3.0404312463293164,3.0404312463293164,3.7175411195129726,0.81324110671936,0.81324110671936,1.0,0.6771098731836565,174.5,1.0,1.0,6.074999999999932,6.074999999999932,0.008935663224781454,3.738534901043341,3.738534901043341,3.821613454399925,0.9782608695652006,0.9782608695652006,1.0,0.08307855335658398,180.0,1.0,1.0,3.2799999999999727,3.2799999999999727,0.004789090218867224,2.342327591615292,2.342327591615292,3.6134687846260207,0.6482213438735194,0.6482213438735194,1.0,1.2711411930107288,169.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0
ema20_net_edge_entry_exit_next_open,score,score,ema_0p20,ema_0p20,net_edge,0.5,0.65,0.05,0.0,2.0,2.0,0.85,0.3,,0.0,,,,1.0,1.0,1.0,1.0,1.0081193186832589,1.004834965367651,1.0129542840509096,1.0129935406755528,0.9998313028553831,2.0,1.0,4.399999999999977,4.399999999999977,0.006454204451062719,2.869658664429819,2.869658664429819,3.70831016914,0.7707126136843346,0.7707126136843346,1.0,0.8386515047101804,169.5,1.0,1.0,5.519999999999982,5.519999999999982,0.008119318683258214,3.3969897372443465,3.3969897372443465,3.8031515536539784,0.8932038834951499,0.8932038834951499,1.0,0.4061618164096319,170.0,1.0,1.0,3.2799999999999727,3.2799999999999727,0.004789090218867224,2.342327591615292,2.342327591615292,3.6134687846260207,0.6482213438735194,0.6482213438735194,1.0,1.2711411930107288,169.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0
hybrid_entry55_next_open,threshold,hybrid,raw,raw,entry_diff,0.55,0.65,0.1,0.0,2.0,2.0,0.85,0.3,,0.0,,,,2.0,2.0,1.0,1.0,1.0051388444009282,1.0069593615767813,1.0120982059777095,1.0121339690539792,0.9998313028553831,3.0,1.0,2.751666666666665,2.340000000000032,0.004021713752443954,1.7128738026802852,1.238934590110757,2.4718066979987356,0.6692470273649961,0.7788697788697904,0.6666666666666666,0.7589328953184507,106.66666666666667,2.0,1.0,1.75,1.75,0.002566498770545267,0.9763973761426381,0.9763973761426381,1.6625500329720757,0.614435651612599,0.614435651612599,0.5,0.6861526568294377,65.0,1.0,1.0,4.7549999999999955,4.7549999999999955,0.006932143716241328,3.1858266557555797,3.1858266557555797,4.090320028052056,0.7788697788697904,0.7788697788697904,1.0,0.9044933722964766,190.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,6.0,6.0
baseline_next_open_hybrid,threshold,hybrid,raw,raw,entry_diff,0.5,0.65,0.1,0.0,2.0,2.0,0.85,0.3,,0.0,,,,2.0,2.0,1.0,1.0,1.0050137438411841,1.0069593615767813,1.0119731054179653,1.0120079978742094,0.9998313028553831,3.0,1.0,2.72333333333332,2.2549999999999955,0.003980084594931537,1.7049879170097737,1.2152769330992221,2.46527764044577,0.6676089211144215,0.7788697788697904,0.6666666666666666,0.7602897234359962,110.0,2.0,1.0,1.7074999999999818,1.7074999999999818,0.002504055034276642,0.9645685476368707,0.9645685476368707,1.652756446642627,0.611978492236737,0.611978492236737,0.5,0.688187899005756,70.0,1.0,1.0,4.7549999999999955,4.7549999999999955,0.006932143716241328,3.1858266557555797,3.1858266557555797,4.090320028052056,0.7788697788697904,0.7788697788697904,1.0,0.9044933722964766,190.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,7.0,7.0
fast_exit_next_open_hybrid,threshold,hybrid,raw,raw,entry_diff,0.5,0.65,0.1,0.0,2.0,1.0,0.8,0.2,,0.0,,,,2.0,2.0,1.0,1.0,1.004397710898374,1.0069593615767813,1.011357072475155,1.011387677735405,0.9998313028553831,3.0,1.0,2.5833333333332953,1.8349999999999227,0.0037750900492506713,1.6295383513184563,0.9889282360252698,2.4401277852153376,0.6279991167122095,0.7210216110019458,0.6666666666666666,0.8105894338968814,106.66666666666667,2.0,1.0,1.4974999999999454,1.4974999999999454,0.0021965632157553427,0.8513941990998946,0.8513941990998946,1.6150316637969784,0.5525637856334191,0.5525637856334191,0.5,0.7636374646970838,65.0,1.0,1.0,4.7549999999999955,4.7549999999999955,0.006932143716241328,3.1858266557555797,3.1858266557555797,4.090320028052056,0.7788697788697904,0.7788697788697904,1.0,0.9044933722964766,190.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,8.0,8.0,8.0
fast_exit_next_open_hybrid_cd6,threshold,hybrid,raw,raw,entry_diff,0.5,0.65,0.1,0.0,2.0,1.0,0.8,0.2,,6.0,,,,2.0,2.0,1.0,1.0,1.0031711876180793,1.0069593615767813,1.0101305491948604,1.0101526186361212,0.9998313028553831,3.0,1.0,2.3049999999999877,1.1599999999999682,0.003366945346040108,1.4823099122698615,0.7138601621745193,2.294867809251969,0.5825903535906991,0.5847953216374144,0.6666666666666666,0.8125578969821072,86.66666666666667,2.0,1.0,1.079999999999984,1.079999999999984,0.0015843461609394982,0.6305515405270028,0.6305515405270028,1.3971416998519253,0.4844506409511534,0.4844506409511534,0.5,0.7665901593249225,35.0,1.0,1.0,4.7549999999999955,4.7549999999999955,0.006932143716241328,3.1858266557555797,3.1858266557555797,4.090320028052056,0.7788697788697904,0.7788697788697904,1.0,0.9044933722964766,190.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,9.0,9.0,9.0
diff_entry_fast_exit_next_open_cd6,score,hybrid,raw,raw,entry_diff,0.5,0.65,0.15,0.0,2.0,1.0,0.8,0.2,,6.0,,,,2.0,2.0,1.0,1.0,1.0031711876180793,1.0069593615767813,1.0101305491948604,1.0101526186361212,0.9998313028553831,3.0,1.0,2.3049999999999877,1.1599999999999682,0.003366945346040108,1.4823099122698615,0.7138601621745193,2.294867809251969,0.5825903535906991,0.5847953216374144,0.6666666666666666,0.8125578969821072,86.66666666666667,2.0,1.0,1.079999999999984,1.079999999999984,0.0015843461609394982,0.6305515405270028,0.6305515405270028,1.3971416998519253,0.4844506409511534,0.4844506409511534,0.5,0.7665901593249225,35.0,1.0,1.0,4.7549999999999955,4.7549999999999955,0.006932143716241328,3.1858266557555797,3.1858266557555797,4.090320028052056,0.7788697788697904,0.7788697788697904,1.0,0.9044933722964766,190.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,9.0,9.0,9.0
