symbol,timestamp,open,high,low,close,volume,raw_action,raw_pos,exec_pos,gate_status,p_enter_long,p_enter_short,p_exit_long,p_exit_short,p_pivot_long,p_pivot_short,p_tb_long,p_tb_short,p_pivot_long_source,p_pivot_short_source,p_tb_long_source,p_tb_short_source,thr_enter_long,thr_enter_short,thr_exit_long,thr_exit_short
SPY,2026-01-30 17:30:00+00:00,691.025,691.5,689.595,690.16,20684.0,-1.0,-1,-1,entry_confirmed,0.03213302791118622,0.9001949429512024,,,0.01289066020399332,0.3652905523777008,0.057973816990852356,0.9768115878105164,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-01-30 17:40:00+00:00,690.09,691.04,689.84,690.36,10128.0,-1.0,-1,-1,hold_aligned,0.045328203588724136,0.8602185845375061,,0.11856891214847565,0.000919695186894387,0.016193943098187447,0.0636255070567131,0.9652755260467529,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-01-30 17:50:00+00:00,690.41,690.7,689.215,689.22,14104.0,-1.0,-1,-1,hold_aligned,0.0748535767197609,0.8460038900375366,,0.10799247771501541,0.007424274459481239,0.328205406665802,0.051675356924533844,0.9793528914451599,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-01-30 18:00:00+00:00,689.09,690.23,688.96,689.66,15227.0,-1.0,-1,-1,hold_aligned,0.03935030847787857,0.9013695120811462,,0.09592629224061966,0.08941450715065002,0.2858947515487671,0.05405369773507118,0.9769514203071594,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-01-30 18:10:00+00:00,689.6,689.63,688.095,688.22,19298.0,-1.0,-1,-1,hold_aligned,0.0651484951376915,0.8778244256973267,,0.07939519733190536,0.012561949901282787,0.11065440624952316,0.04553515091538429,0.9850125312805176,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-01-30 18:20:00+00:00,688.16,689.52,687.17,689.49,43923.0,0.0,0,-1,exit_pending,0.028403161093592644,0.9409317374229431,,0.8126298189163208,0.32489797472953796,0.21409878134727478,0.05269432067871094,0.9767510890960693,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-01-30 18:30:00+00:00,689.45,689.66,687.92,688.58,12625.0,-1.0,-1,-1,pending_canceled_realign,0.052484408020973206,0.8605386018753052,,,0.02211783640086651,0.16418765485286713,0.06157396361231804,0.9744386672973633,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-01-30 18:40:00+00:00,688.77,690.02,688.62,690.015,16745.0,-1.0,-1,-1,hold_aligned,0.026191113516688347,0.9427606463432312,,0.11723941564559937,0.031144825741648674,0.24511322379112244,0.07351776212453842,0.9594246745109558,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-01-30 18:50:00+00:00,690.025,692.06,689.985,691.39,33199.0,-1.0,-1,-1,hold_aligned,0.02293095737695694,0.9544461369514465,,0.2957107126712799,0.010232793167233467,0.5494378209114075,0.0829937607049942,0.9311602115631104,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-01-30 19:00:00+00:00,691.36,692.68,691.36,692.08,34790.0,-1.0,-1,-1,hold_aligned,0.02489532344043255,0.907935619354248,,0.2558099627494812,0.016238635405898094,0.5824582576751709,0.09408397972583771,0.9293776154518127,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-01-30 19:10:00+00:00,692.14,692.33,691.505,691.9,38510.0,-1.0,-1,-1,hold_aligned,0.0826999843120575,0.8049107789993286,,0.16253513097763062,0.005929615814238787,0.012648873031139374,0.08591412007808685,0.9316452145576477,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-01-30 19:20:00+00:00,691.85,692.69,691.34,691.34,33461.0,-1.0,-1,-1,hold_aligned,0.11999285221099854,0.7287507057189941,,0.08721740543842316,0.011924720369279385,0.4034517705440521,0.08000343292951584,0.9265719652175903,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-01-30 19:30:00+00:00,691.3,692.025,690.66,691.61,36920.0,-1.0,-1,-1,hold_aligned,0.07265312224626541,0.7697551250457764,,0.22396650910377502,0.1695639044046402,0.32429054379463196,0.06562107801437378,0.9414223432540894,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-01-30 19:40:00+00:00,691.635,691.85,690.78,690.84,27317.0,-1.0,-1,-1,hold_aligned,0.1367967128753662,0.6354988813400269,,0.0882008969783783,0.0015742629766464233,0.014772494323551655,0.06173987686634064,0.9583736062049866,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-01-30 19:50:00+00:00,690.89,692.26,690.46,690.545,29402.0,-1.0,-1,-1,hold_aligned,0.1796901375055313,0.6419214010238647,,0.1556204855442047,0.01154387928545475,0.3537377119064331,0.05570657551288605,0.957780659198761,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-01-30 20:00:00+00:00,690.665,691.14,689.98,690.49,30249.0,-1.0,-1,-1,hold_aligned,0.10048045217990875,0.708092451095581,,0.1033499538898468,0.10769511759281158,0.26517853140830994,0.049204207956790924,0.9811066389083862,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-01-30 20:10:00+00:00,690.53,690.64,689.595,689.78,28562.0,-1.0,-1,-1,hold_aligned,0.1739339530467987,0.7211305499076843,,0.0957241877913475,0.030449198558926582,0.12644121050834656,0.053800035268068314,0.9815203547477722,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-01-30 20:20:00+00:00,689.74,690.43,689.3,690.02,35330.0,-1.0,-1,-1,hold_aligned,0.11866641789674759,0.7575405836105347,,0.1385844498872757,0.14371556043624878,0.2510061264038086,0.05992975831031799,0.9802234172821045,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-01-30 20:30:00+00:00,690.16,690.98,690.06,690.58,46463.0,-1.0,-1,-1,hold_aligned,0.09998911619186401,0.8028247952461243,,0.23116791248321533,0.08892588317394257,0.48517557978630066,0.056493695825338364,0.9817432165145874,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-01-30 20:40:00+00:00,690.545,692.57,690.465,692.57,75747.0,-1.0,-1,-1,hold_aligned,0.07960318773984909,0.9213404059410095,,0.28312718868255615,0.1688583791255951,0.31362274289131165,0.07807409763336182,0.9506552815437317,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-01-30 20:50:00+00:00,692.61,692.8,690.86,691.8,328361.0,-1.0,-1,-1,hold_aligned,0.2093467265367508,0.8071184754371643,,0.24719619750976562,0.17799383401870728,0.24090005457401276,0.07171377539634705,0.9568725824356079,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-02 14:30:00+00:00,689.62,692.225,689.445,691.93,54370.0,-1.0,-1,-1,hold_aligned,0.05335370823740959,0.8497386574745178,,0.47730812430381775,0.18783113360404968,0.31592845916748047,0.07623203098773956,0.9632694721221924,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-02 14:40:00+00:00,691.97,692.96,691.61,692.85,42066.0,-1.0,-1,-1,hold_aligned,0.019971046596765518,0.9397265315055847,,0.30637431144714355,0.22829098999500275,0.30350708961486816,0.07766920328140259,0.9462534785270691,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-02 14:50:00+00:00,692.92,693.835,692.22,692.69,60181.0,-1.0,-1,-1,hold_aligned,0.021683258935809135,0.8916700482368469,,0.24163009226322174,0.07160919159650803,0.5487331748008728,0.08647128194570541,0.9299101829528809,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-02 15:00:00+00:00,692.57,694.53,692.45,694.485,67708.0,-1.0,-1,-1,hold_aligned,0.016843918710947037,0.9586692452430725,,0.5111315846443176,0.22615393996238708,0.28965622186660767,0.07202542573213577,0.9491000175476074,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-02 15:10:00+00:00,694.51,695.58,694.27,695.46,77652.0,-1.0,-1,-1,hold_aligned,0.013377288356423378,0.9605458378791809,,0.2921057343482971,0.16032154858112335,0.377527117729187,0.08376885950565338,0.9323960542678833,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-02 15:20:00+00:00,695.495,695.63,694.62,694.685,44138.0,-1.0,-1,-1,hold_aligned,0.030278511345386505,0.8923741579055786,,0.17813655734062195,0.04924294725060463,0.26318398118019104,0.06111038476228714,0.950764536857605,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-02 15:30:00+00:00,694.695,695.74,694.46,695.7,60679.0,-1.0,-1,-1,hold_aligned,0.012618857435882092,0.9384970664978027,,0.23869262635707855,0.1541798710823059,0.2040611207485199,0.05657434090971947,0.9385865330696106,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-02 15:40:00+00:00,695.7,695.73,694.69,694.72,28341.0,-1.0,-1,-1,hold_aligned,0.02767067961394787,0.9211886525154114,,0.10367243736982346,0.0044027334079146385,0.007052987348288298,0.04960140585899353,0.9498628377914429,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-02 15:50:00+00:00,694.665,695.225,694.38,694.72,33233.0,-1.0,-1,-1,hold_aligned,0.020765887573361397,0.8807206749916077,,0.1207677349448204,0.1362067013978958,0.3056124150753021,0.04185626283288002,0.9577427506446838,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-02 16:00:00+00:00,694.74,694.8,693.93,694.79,29926.0,-1.0,-1,-1,hold_aligned,0.0130119314417243,0.9194821119308472,,0.14067618548870087,0.21694129705429077,0.12913736701011658,0.041949231177568436,0.960113525390625,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-02 16:10:00+00:00,694.87,695.45,694.69,695.235,29204.0,-1.0,-1,-1,hold_aligned,0.011189146898686886,0.934197723865509,,0.1565338671207428,0.28925973176956177,0.6838295459747314,0.05442466214299202,0.9565770626068115,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-02 16:20:00+00:00,695.23,695.66,695.13,695.56,45196.0,-1.0,-1,-1,hold_aligned,0.01125679723918438,0.957158625125885,,0.2229619026184082,0.03958277776837349,0.7561215758323669,0.0633770227432251,0.9601076245307922,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-02 16:30:00+00:00,695.55,695.55,695.07,695.22,26203.0,-1.0,-1,-1,hold_aligned,0.023018768057227135,0.9036513566970825,,0.12240173667669296,0.18442530930042267,0.3077864646911621,0.05646999552845955,0.962556004524231,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-02 16:40:00+00:00,695.24,695.24,694.51,694.9,22384.0,-1.0,-1,-1,hold_aligned,0.03728051483631134,0.841446578502655,,0.1206364780664444,0.49069806933403015,0.08394169062376022,0.040497712790966034,0.9704297184944153,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
