trace_kind,symbol,timestamp,open,high,low,close,volume,policy_event,policy_mode,policy_reason,policy_position,policy_signed_contracts,policy_long_contracts,policy_short_contracts,policy_open_long_symbol,policy_open_short_symbol,target_long_contracts,target_short_contracts,raw_action,raw_pos,exec_pos,gate_status,p_enter_long,p_enter_short,p_exit_long,p_exit_short,p_pivot_long,p_pivot_short,p_tb_long,p_tb_short,p_pivot_long_source,p_pivot_short_source,p_tb_long_source,p_tb_short_source,thr_enter_long,thr_enter_short,thr_exit_long,thr_exit_short
policy_1m,SPY,2026-03-09 13:30:00+00:00,666.38,667.43,666.38,667.43,9764.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 13:31:00+00:00,667.36,667.51,666.63,666.64,10018.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 13:32:00+00:00,666.79,667.09,666.6,666.79,12514.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 13:33:00+00:00,666.87,666.87,665.79,665.955,11166.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 13:34:00+00:00,665.97,666.52,665.97,666.32,4877.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 13:35:00+00:00,666.355,666.57,666.01,666.5,9599.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 13:36:00+00:00,666.525,666.525,665.66,665.83,9516.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 13:37:00+00:00,665.63,665.88,665.19,665.305,4316.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 13:38:00+00:00,665.27,665.31,664.95,665.12,6888.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 13:39:00+00:00,665.03,665.39,664.69,664.745,4055.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 13:40:00+00:00,664.67,664.83,664.29,664.31,6274.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_10m,SPY,2026-03-09 13:30:00+00:00,666.38,667.51,664.69,664.745,82713.0,,,,,,,,,,,,,,,policy_only,0.5320985317230225,0.3012163043022156,,,0.47225451469421387,0.017437826842069626,0.6758404970169067,0.18862760066986084,,,,,0.5,0.5,0.65,0.65
policy_1m,SPY,2026-03-09 13:41:00+00:00,664.245,664.55,663.84,664.17,5463.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 13:42:00+00:00,664.14,664.14,663.665,663.75,7757.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 13:43:00+00:00,663.95,664.48,663.77,664.29,7984.0,open_long,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260309_C_666,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 13:44:00+00:00,664.27,664.48,663.885,664.36,11780.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260309_C_666,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 13:45:00+00:00,664.12,664.56,663.4,663.475,11286.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260309_C_666,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 13:46:00+00:00,664.19,664.81,664.075,664.13,6576.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260309_C_666,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 13:47:00+00:00,663.99,664.64,663.875,664.64,6525.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260309_C_666,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-09 13:48:00+00:00,664.65,664.86,664.49,664.8,5670.0,hold,independent_meta,,1.0,1.0,1.0,0.0,.SIM_SPY_260309_C_666,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
