trace_kind,symbol,timestamp,open,high,low,close,volume,policy_event,policy_mode,policy_reason,policy_position,policy_signed_contracts,policy_long_contracts,policy_short_contracts,policy_open_long_symbol,policy_open_short_symbol,target_long_contracts,target_short_contracts,raw_action,raw_pos,exec_pos,gate_status,p_enter_long,p_enter_short,p_exit_long,p_exit_short,p_pivot_long,p_pivot_short,p_tb_long,p_tb_short,p_pivot_long_source,p_pivot_short_source,p_tb_long_source,p_tb_short_source,thr_enter_long,thr_enter_short,thr_exit_long,thr_exit_short
policy_1m,SPY,2026-02-09 14:30:00+00:00,689.47,689.59,688.64,688.73,5499.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-02-09 14:31:00+00:00,688.74,689.145,688.39,688.905,3485.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-02-09 14:32:00+00:00,688.76,689.61,688.675,689.54,5172.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-02-09 14:33:00+00:00,689.575,689.93,689.42,689.78,2311.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-02-09 14:34:00+00:00,689.8,690.08,689.67,689.87,3441.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-02-09 14:35:00+00:00,689.62,690.045,689.62,689.91,3856.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-02-09 14:36:00+00:00,689.96,690.085,689.505,689.655,2291.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-02-09 14:37:00+00:00,690.26,690.47,690.03,690.47,2719.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-02-09 14:38:00+00:00,690.36,690.62,690.31,690.45,6831.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-02-09 14:39:00+00:00,690.275,691.09,690.275,691.09,3720.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-02-09 14:40:00+00:00,691.05,691.225,691.035,691.13,2571.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
