trace_kind,symbol,timestamp,open,high,low,close,volume,policy_event,policy_mode,policy_reason,policy_position,policy_signed_contracts,policy_long_contracts,policy_short_contracts,policy_open_long_symbol,policy_open_short_symbol,target_long_contracts,target_short_contracts,raw_action,raw_pos,exec_pos,gate_status,p_enter_long,p_enter_short,p_exit_long,p_exit_short,p_pivot_long,p_pivot_short,p_tb_long,p_tb_short,p_pivot_long_source,p_pivot_short_source,p_tb_long_source,p_tb_short_source,thr_enter_long,thr_enter_short,thr_exit_long,thr_exit_short
policy_1m,SPY,2026-03-03 14:30:00+00:00,675.03,676.19,674.87,676.12,23148.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 14:31:00+00:00,676.12,676.37,675.73,676.3,18345.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 14:32:00+00:00,676.28,676.37,675.675,675.82,15369.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 14:33:00+00:00,675.75,676.0,675.46,675.735,25742.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 14:34:00+00:00,675.73,675.94,674.5,674.54,39515.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 14:35:00+00:00,674.53,675.31,674.13,674.96,29903.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 14:36:00+00:00,674.99,676.605,674.88,676.13,16922.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 14:37:00+00:00,676.23,676.59,675.88,676.59,9065.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 14:38:00+00:00,676.63,676.87,676.41,676.83,9398.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 14:39:00+00:00,676.86,677.05,675.8,675.8,12351.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 14:40:00+00:00,675.78,675.9,675.16,675.63,10049.0,hold,intrabar_meta,no_meta_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_10m,SPY,2026-03-03 14:30:00+00:00,675.03,677.05,674.13,675.8,199758.0,,,,,,,,,,,,,,,policy_only,0.4234946668148041,0.5973947048187256,,,0.7919694185256958,0.024784445762634277,0.4128260910511017,0.25619402527809143,,,,,0.5,0.5,0.65,0.65
policy_1m,SPY,2026-03-03 14:41:00+00:00,675.68,675.68,674.62,674.63,9404.0,error,intrabar_meta,atr_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 14:42:00+00:00,674.75,674.75,674.27,674.41,11626.0,error,intrabar_meta,atr_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 14:43:00+00:00,674.38,674.39,673.72,674.01,10392.0,error,intrabar_meta,atr_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 14:44:00+00:00,674.01,674.09,673.29,673.38,12566.0,error,intrabar_meta,atr_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 14:45:00+00:00,673.43,674.17,672.985,673.99,16113.0,error,intrabar_meta,atr_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 14:46:00+00:00,674.27,674.78,674.11,674.52,13289.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 14:47:00+00:00,674.69,674.69,673.41,673.73,11304.0,error,intrabar_meta,atr_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 14:48:00+00:00,673.65,673.67,673.09,673.09,22493.0,error,intrabar_meta,atr_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 14:49:00+00:00,673.16,673.325,672.5,672.5,15628.0,error,intrabar_meta,atr_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 14:50:00+00:00,672.45,673.04,672.26,672.93,30045.0,error,intrabar_meta,atr_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_10m,SPY,2026-03-03 14:40:00+00:00,675.78,675.9,672.5,672.5,132864.0,,,,,,,,,,,,,,,policy_only,0.30179670453071594,0.5167006850242615,,0.46538403630256653,0.3631017804145813,0.006460424978286028,0.4557438790798187,0.3440648019313812,,,,,0.5,0.5,0.65,0.65
policy_1m,SPY,2026-03-03 14:51:00+00:00,672.92,673.9,672.92,673.175,16629.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 14:52:00+00:00,673.24,673.7,672.9,673.15,9311.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 14:53:00+00:00,672.98,673.59,672.96,673.46,7405.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 14:54:00+00:00,673.47,673.5,672.68,673.31,16092.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 14:55:00+00:00,673.02,673.4,672.68,673.21,7380.0,error,intrabar_meta,atr_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 14:56:00+00:00,673.21,673.26,672.64,672.86,8419.0,error,intrabar_meta,atr_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 14:57:00+00:00,672.75,672.95,672.42,672.77,10852.0,error,intrabar_meta,atr_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 14:58:00+00:00,672.63,672.63,671.97,672.09,9570.0,error,intrabar_meta,atr_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 14:59:00+00:00,672.27,672.56,672.03,672.4,8064.0,error,intrabar_meta,atr_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 15:00:00+00:00,672.34,673.82,672.22,672.9,22063.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
meta_10m,SPY,2026-03-03 14:50:00+00:00,672.45,673.9,671.97,672.4,123767.0,,,,,,,,,,,,,,,policy_only,0.4126100242137909,0.5397007465362549,,0.821688711643219,0.7911563515663147,0.016151288524270058,0.447719931602478,0.28702840209007263,,,,,0.5,0.5,0.65,0.65
policy_1m,SPY,2026-03-03 15:01:00+00:00,672.91,673.39,672.345,672.35,16373.0,error,intrabar_meta,atr_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 15:02:00+00:00,672.36,672.87,672.215,672.215,10611.0,error,intrabar_meta,atr_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 15:03:00+00:00,672.34,672.71,672.06,672.36,16580.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 15:04:00+00:00,672.39,672.55,671.8,672.17,14141.0,error,intrabar_meta,atr_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 15:05:00+00:00,672.21,672.38,671.64,672.36,8882.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 15:06:00+00:00,672.3,673.24,672.04,672.77,16572.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 15:07:00+00:00,672.77,672.975,672.08,672.08,4733.0,error,intrabar_meta,atr_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 15:08:00+00:00,672.08,672.155,671.78,671.91,12345.0,error,intrabar_meta,atr_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 15:09:00+00:00,672.0,672.72,671.96,672.39,9095.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 15:10:00+00:00,672.35,672.48,671.71,671.99,13435.0,error,intrabar_meta,atr_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta_10m,SPY,2026-03-03 15:00:00+00:00,672.34,673.82,671.64,672.39,131395.0,,,,,,,,,,,,,,,policy_only,0.40626493096351624,0.4096808135509491,,,0.7600469589233398,0.06311321258544922,0.6413170695304871,0.17885711789131165,,,,,0.5,0.5,0.65,0.65
policy_1m,SPY,2026-03-03 15:11:00+00:00,672.035,673.01,672.01,672.54,12590.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 15:12:00+00:00,672.51,673.55,672.39,672.84,18061.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 15:13:00+00:00,672.85,672.94,672.38,672.54,15045.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 15:14:00+00:00,672.46,673.0,672.4,672.59,8093.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 15:15:00+00:00,672.62,672.95,672.38,672.44,13879.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 15:16:00+00:00,672.41,672.46,671.64,671.78,14730.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-03 15:17:00+00:00,671.79,671.81,671.37,671.49,9710.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
