date,timestamp,p_long_oof_train,p_long_test,p_long_full
2026-01-08 13:15:00-05:00,2026-01-08 13:15:00-05:00,,0.38550717,0.38550717
2026-01-08 13:30:00-05:00,2026-01-08 13:30:00-05:00,,0.017142475,0.017142475
2026-01-08 13:45:00-05:00,2026-01-08 13:45:00-05:00,,0.38454136,0.38454136
2026-01-08 14:00:00-05:00,2026-01-08 14:00:00-05:00,,0.6515111,0.6515111
2026-01-08 14:15:00-05:00,2026-01-08 14:15:00-05:00,,0.87796944,0.87796944
2026-01-08 14:30:00-05:00,2026-01-08 14:30:00-05:00,,0.094020806,0.094020806
2026-01-08 14:45:00-05:00,2026-01-08 14:45:00-05:00,,0.018228902,0.018228902
2026-01-08 15:00:00-05:00,2026-01-08 15:00:00-05:00,,0.021356147,0.021356147
2026-01-08 15:15:00-05:00,2026-01-08 15:15:00-05:00,,0.041262783,0.041262783
2026-01-08 15:30:00-05:00,2026-01-08 15:30:00-05:00,,0.08278539,0.08278539
2026-01-08 15:45:00-05:00,2026-01-08 15:45:00-05:00,,0.1163812,0.1163812
2026-01-08 16:00:00-05:00,2026-01-08 16:00:00-05:00,,0.044862427,0.044862427
2026-01-09 09:30:00-05:00,2026-01-09 09:30:00-05:00,,0.06052121,0.06052121
2026-01-09 09:45:00-05:00,2026-01-09 09:45:00-05:00,,0.08496202,0.08496202
2026-01-09 10:00:00-05:00,2026-01-09 10:00:00-05:00,,0.4884498,0.4884498
2026-01-09 10:15:00-05:00,2026-01-09 10:15:00-05:00,,0.017832136,0.017832136
2026-01-09 10:30:00-05:00,2026-01-09 10:30:00-05:00,,0.0253014,0.0253014
2026-01-09 10:45:00-05:00,2026-01-09 10:45:00-05:00,,0.08106651,0.08106651
2026-01-09 11:00:00-05:00,2026-01-09 11:00:00-05:00,,0.05993559,0.05993559
2026-01-09 11:15:00-05:00,2026-01-09 11:15:00-05:00,,0.022002967,0.022002967
2026-01-09 11:30:00-05:00,2026-01-09 11:30:00-05:00,,0.01083411,0.01083411
2026-01-09 11:45:00-05:00,2026-01-09 11:45:00-05:00,,0.008999945,0.008999945
2026-01-09 12:00:00-05:00,2026-01-09 12:00:00-05:00,,0.0023901898,0.0023901898
