n,threshold,tp,tn,fp,fn,precision,recall,f1,f0_5,f2,pos_rate,pred_rate,logloss,auc,average_precision
7779.0,0.5,1372.0,4636.0,1125.0,646.0,0.5494593512214657,0.6798810703666998,0.6077519379844961,0.5713809761785774,0.64906802914183,0.25941637742640444,0.3209924154775678,0.4757841094414647,0.8305358525569819,0.6687782958912164
7779.0,0.55,1259.0,4891.0,870.0,759.0,0.5913574448097698,0.6238850346878098,0.6071859175307451,0.5975887602050503,0.6170963631016567,0.25941637742640444,0.2736855636971333,0.4757841094414647,0.8305358525569819,0.6687782958912164
7779.0,0.6,1156.0,5057.0,704.0,862.0,0.621505376344086,0.5728444003964321,0.596183599793708,0.6111228589553817,0.5819573097060009,0.25941637742640444,0.239105283455457,0.4757841094414647,0.8305358525569819,0.6687782958912164
7779.0,0.65,1052.0,5208.0,553.0,966.0,0.6554517133956387,0.5213082259663032,0.5807341981783053,0.6233704669352927,0.5435568874651234,0.25941637742640444,0.20632472040107983,0.4757841094414647,0.8305358525569819,0.6687782958912164
7779.0,0.7,941.0,5347.0,414.0,1077.0,0.6944649446494465,0.4663032705649158,0.5579602727542248,0.632562516805593,0.49909833457091335,0.25941637742640444,0.17418691348502377,0.4757841094414647,0.8305358525569819,0.6687782958912164
7779.0,0.75,827.0,5456.0,305.0,1191.0,0.730565371024735,0.4098116947472745,0.525079365079365,0.6316834708218759,0.4492611907866145,0.25941637742640444,0.1455199897159018,0.4757841094414647,0.8305358525569819,0.6687782958912164
7779.0,0.8,705.0,5556.0,205.0,1313.0,0.7747252747252747,0.3493557978196234,0.48155737704918034,0.6230116648992576,0.39245156980627927,0.25941637742640444,0.11698161717444401,0.4757841094414647,0.8305358525569819,0.6687782958912164
7779.0,0.85,580.0,5634.0,127.0,1438.0,0.8203677510608204,0.2874132804757185,0.42568807339449544,0.5984316962443251,0.33033375099669665,0.25941637742640444,0.0908857179586065,0.4757841094414647,0.8305358525569819,0.6687782958912164
7779.0,0.9,417.0,5698.0,63.0,1601.0,0.86875,0.2066402378592666,0.33386709367493994,0.5294565769426104,0.2438026192703461,0.25941637742640444,0.06170458927882761,0.4757841094414647,0.8305358525569819,0.6687782958912164
7779.0,0.95,188.0,5747.0,14.0,1830.0,0.9306930693069307,0.0931615460852329,0.16936936936936936,0.3326256192498231,0.11360889533478367,0.25941637742640444,0.025967347988173288,0.4757841094414647,0.8305358525569819,0.6687782958912164
