"ticker","sector","market_cap_bucket","type"
"AAPL","Unknown","Unknown","Stock"
"ABNB","Unknown","Unknown","Stock"
"ADBE","Unknown","Unknown","Stock"
"ADI","Unknown","Unknown","Stock"
"AFRM","Unknown","Unknown","Stock"
"AG","Unknown","Unknown","Stock"
"AI","Unknown","Unknown","Stock"
"AMAT","Unknown","Unknown","Stock"
"AMC","Unknown","Unknown","Stock"
"AMD","Unknown","Unknown","Stock"
"AMZN","Unknown","Unknown","Stock"
"ANET","Unknown","Unknown","Stock"
"APLD","Unknown","Unknown","Stock"
"APP","Unknown","Unknown","Stock"
"AR","Unknown","Unknown","Stock"
"ARKK","Unknown","Unknown","ETF"
"ARM","Unknown","Unknown","Stock"
"ASML","Unknown","Unknown","Stock"
"ASTS","Unknown","Unknown","Stock"
"AVGO","Unknown","Unknown","Stock"
"BABA","Unknown","Unknown","Stock"
"BAC","Unknown","Unknown","Stock"
"BBAI","Unknown","Unknown","Stock"
"BE","Unknown","Unknown","Stock"
"BIDU","Unknown","Unknown","Stock"
"BMNR","Unknown","Unknown","Stock"
"BTBT","Unknown","Unknown","Stock"
"BX","Unknown","Unknown","Stock"
"C","Unknown","Unknown","Stock"
"CAVA","Unknown","Unknown","Stock"
"CCJ","Unknown","Unknown","Stock"
"CCL","Unknown","Unknown","Stock"
"CELH","Unknown","Unknown","Stock"
"CHWY","Unknown","Unknown","Stock"
"CLF","Unknown","Unknown","Stock"
"COIN","Unknown","Unknown","Stock"
"COP","Unknown","Unknown","Stock"
"COPX","Unknown","Unknown","ETF"
"CORZ","Unknown","Unknown","Stock"
"COST","Unknown","Unknown","Stock"
"CRCL","Unknown","Unknown","Stock"
"CRDO","Unknown","Unknown","Stock"
"CRM","Unknown","Unknown","Stock"
"CRWD","Unknown","Unknown","Stock"
"CRWV","Unknown","Unknown","Stock"
"CSCO","Unknown","Unknown","Stock"
"CVNA","Unknown","Unknown","Stock"
"CVX","Unknown","Unknown","Stock"
"DAL","Unknown","Unknown","Stock"
"DASH","Unknown","Unknown","Stock"
"DDOG","Unknown","Unknown","Stock"
"DIA","Unknown","Unknown","ETF"
"DK","Unknown","Unknown","Stock"
"DKNG","Unknown","Unknown","Stock"
"DUOL","Unknown","Unknown","Stock"
"DVN","Unknown","Unknown","Stock"
"ECX","Unknown","Unknown","Stock"
"EEM","Unknown","Unknown","ETF"
"EL","Unknown","Unknown","Stock"
"ENPH","Unknown","Unknown","Stock"
"EOG","Unknown","Unknown","Stock"
"EOSE","Unknown","Unknown","Stock"
"FCX","Unknown","Unknown","Stock"
"FSLR","Unknown","Unknown","Stock"
"FXI","Unknown","Unknown","ETF"
"GDX","Unknown","Unknown","ETF"
"GH","Unknown","Unknown","Stock"
"GLD","Unknown","Unknown","ETF"
"GME","Unknown","Unknown","Stock"
"GOOGL","Unknown","Unknown","Stock"
"GS","Unknown","Unknown","Stock"
"GTLB","Unknown","Unknown","Stock"
"HAL","Unknown","Unknown","Stock"
"HD","Unknown","Unknown","Stock"
"HIMS","Unknown","Unknown","Stock"
"HIMZ","Unknown","Unknown","Stock"
"HOOD","Unknown","Unknown","Stock"
"HOVR","Unknown","Unknown","Stock"
"HYG","Unknown","Unknown","ETF"
"IBIT","Unknown","Unknown","ETF"
"IBM","Unknown","Unknown","Stock"
"INTC","Unknown","Unknown","Stock"
"IONQ","Unknown","Unknown","Stock"
"IREN","Unknown","Unknown","Stock"
"IWM","Unknown","Unknown","ETF"
"JNJ","Unknown","Unknown","Stock"
"JPM","Unknown","Unknown","Stock"
"KLAC","Unknown","Unknown","Stock"
"KRE","Unknown","Unknown","ETF"
"LABU","Unknown","Unknown","ETF"
"LCID","Unknown","Unknown","Stock"
"LEU","Unknown","Unknown","Stock"
"LIN","Unknown","Unknown","Stock"
"LLY","Unknown","Unknown","Stock"
"LMT","Unknown","Unknown","Stock"
"LQD","Unknown","Unknown","ETF"
"LRCX","Unknown","Unknown","Stock"
"LULU","Unknown","Unknown","Stock"
"MARA","Unknown","Unknown","Stock"
"MDB","Unknown","Unknown","Stock"
"META","Unknown","Unknown","Stock"
"MP","Unknown","Unknown","Stock"
"MPC","Unknown","Unknown","Stock"
"MRNA","Unknown","Unknown","Stock"
"MRO","Unknown","Unknown","Stock"
"MRVL","Unknown","Unknown","Stock"
"MS","Unknown","Unknown","Stock"
"MSFT","Unknown","Unknown","Stock"
"MSTR","Unknown","Unknown","Stock"
"MU","Unknown","Unknown","Stock"
"MVIS","Unknown","Unknown","Stock"
"NBIS","Unknown","Unknown","Stock"
"NE","Unknown","Unknown","Stock"
"NET","Unknown","Unknown","Stock"
"NFLX","Unknown","Unknown","Stock"
"NNE","Unknown","Unknown","Stock"
"NOW","Unknown","Unknown","Stock"
"NVDA","Unknown","Unknown","Stock"
"NVO","Unknown","Unknown","Stock"
"OIH","Unknown","Unknown","ETF"
"OKLO","Unknown","Unknown","Stock"
"ON","Unknown","Unknown","Stock"
"OPEN","Unknown","Unknown","Stock"
"ORCL","Unknown","Unknown","Stock"
"OXY","Unknown","Unknown","Stock"
"PAAS","Unknown","Unknown","Stock"
"PBF","Unknown","Unknown","Stock"
"PDD","Unknown","Unknown","Stock"
"PG","Unknown","Unknown","Stock"
"PHUN","Unknown","Unknown","Stock"
"PLTR","Unknown","Unknown","Stock"
"PLUG","Unknown","Unknown","Stock"
"PPLT","Unknown","Unknown","ETF"
"PSX","Unknown","Unknown","Stock"
"QBTS","Unknown","Unknown","Stock"
"QCOM","Unknown","Unknown","Stock"
"QQQ","Unknown","Unknown","ETF"
"RBLX","Unknown","Unknown","Stock"
"RCAT","Unknown","Unknown","Stock"
"RCL","Unknown","Unknown","Stock"
"RDDT","Unknown","Unknown","Stock"
"RGTI","Unknown","Unknown","Stock"
"RIG","Unknown","Unknown","Stock"
"RIOT","Unknown","Unknown","Stock"
"RIVN","Unknown","Unknown","Stock"
"RKLB","Unknown","Unknown","Stock"
"RKT","Unknown","Unknown","Stock"
"ROKU","Unknown","Unknown","Stock"
"ROOT","Unknown","Unknown","Stock"
"SBSW","Unknown","Unknown","Stock"
"SCHW","Unknown","Unknown","Stock"
"SCO","Unknown","Unknown","ETF"
