window,strategy,convention,n_days,total_return_pct,cagr_pct,ann_vol_pct,sharpe_ann,max_dd_pct,ret_over_dd,total_return_pct_std,cagr_pct_std,ann_vol_pct_std,sharpe_ann_std,max_dd_pct_std,ret_over_dd_std,seeds
momentum_expansion,random_top5,trade_booked_daily,282,28.458,25.076,8.213,2.773,-7.085,4.197,3.893,3.39,0.282,0.397,1.099,1.218,10.0
momentum_expansion,spy_buy_hold,portfolio_daily,282,26.717,23.565,12.468,1.76,-9.131,2.926,,,,,,,
momentum_expansion,equal_weight_universe,portfolio_daily,282,64.734,56.215,20.532,2.277,-11.155,5.803,,,,,,,
momentum_expansion,sector_neutral_etf,portfolio_daily,282,18.268,16.176,9.505,1.625,-6.676,2.736,,,,,,,
momentum_expansion,tbill_3m,portfolio_daily,282,4.511,4.022,0.018,219.877,0.0,inf,,,,,,,
momentum_expansion,largest_stock_NVDA,portfolio_daily,282,45.488,39.799,34.635,1.14,-20.216,2.25,,,,,,,
momentum_expansion,module_momentum_deployed,trade_booked_daily,282,92.517,79.559,16.544,3.625,-15.248,6.067,,,,,,,
momentum_expansion,best_hindsight_pool_stock_AXTI,portfolio_daily,282,4357.544,2876.185,136.668,3.166,-59.8,72.869,,,,,,,
multi_ticker_swing_htf,random_top20,trade_booked_daily,265,31.464,29.691,14.496,1.857,-10.76,3.053,10.98,10.291,0.758,0.562,2.18,1.126,10.0
multi_ticker_swing_htf,spy_buy_hold,portfolio_daily,265,26.716,25.253,12.258,1.899,-9.131,2.926,,,,,,,
multi_ticker_swing_htf,equal_weight_universe,portfolio_daily,265,64.33,60.374,20.777,2.379,-11.331,5.677,,,,,,,
multi_ticker_swing_htf,sector_neutral_etf,portfolio_daily,265,17.677,16.741,9.41,1.692,-6.676,2.648,,,,,,,
multi_ticker_swing_htf,tbill_3m,portfolio_daily,265,4.226,4.014,0.018,219.333,0.0,inf,,,,,,,
multi_ticker_swing_htf,largest_stock_NVDA,portfolio_daily,265,56.194,52.814,34.715,1.395,-20.216,2.78,,,,,,,
multi_ticker_swing_htf,module_htf_deployed,trade_booked_daily,265,335.962,305.583,29.261,4.942,-18.702,17.963,,,,,,,
multi_ticker_swing_htf,best_hindsight_pool_stock_SNDK,portfolio_daily,265,5685.885,4641.48,98.339,4.433,-31.274,181.808,,,,,,,
