trades,win_rate,profit_factor,avg_trade_pct,median_trade_pct,total_pnl,total_return_pct,max_dd_pct,ret_over_dd,sharpe_seq,tp_rate,sl_rate,time_rate,avg_bars_held,module,seed
3876,0.7121,1.231,0.5521,2.7078,21400.88,21.401,-8.489,2.521,5.305,0.711,0.282,0.007,12.58,momentum_expansion,123
3876,0.7288,1.354,0.7824,2.8029,30326.07,30.326,-6.163,4.92,7.733,0.727,0.264,0.009,12.34,momentum_expansion,124
3876,0.7245,1.373,0.8113,2.7634,31444.22,31.444,-6.196,5.075,8.189,0.723,0.269,0.007,12.21,momentum_expansion,125
3876,0.7216,1.318,0.7087,2.7371,27468.14,27.468,-7.255,3.786,7.078,0.72,0.274,0.006,12.23,momentum_expansion,126
3876,0.7255,1.354,0.7828,2.803,30341.09,30.341,-8.251,3.677,7.773,0.724,0.269,0.007,12.31,momentum_expansion,127
3876,0.7314,1.426,0.9032,2.7836,35009.45,35.009,-5.252,6.666,9.173,0.73,0.261,0.009,12.2,momentum_expansion,128
3876,0.7211,1.289,0.6634,2.7193,25713.13,25.713,-8.351,3.079,6.483,0.718,0.273,0.009,12.3,momentum_expansion,129
3876,0.7234,1.352,0.7702,2.7531,29851.96,29.852,-6.441,4.635,7.82,0.721,0.27,0.009,12.4,momentum_expansion,130
3876,0.717,1.251,0.5904,2.7339,22884.65,22.885,-8.209,2.788,5.716,0.715,0.279,0.006,12.14,momentum_expansion,131
3876,0.7214,1.342,0.7647,2.7522,29640.81,29.641,-8.021,3.696,7.521,0.719,0.272,0.008,12.4,momentum_expansion,132
23174,0.3472,1.036,0.0981,-2.4886,22722.74,22.723,-9.392,2.419,2.124,0.203,0.613,0.185,12.06,multi_ticker_swing_htf,123
23174,0.3493,1.056,0.1512,-2.4634,35041.55,35.042,-8.639,4.056,3.232,0.203,0.61,0.187,12.0,multi_ticker_swing_htf,124
23174,0.3456,1.04,0.1088,-2.4973,25221.52,25.222,-9.454,2.668,2.354,0.202,0.613,0.185,11.98,multi_ticker_swing_htf,125
23174,0.3481,1.032,0.0856,-2.4929,19842.1,19.842,-14.094,1.408,1.863,0.203,0.611,0.186,12.03,multi_ticker_swing_htf,126
23174,0.353,1.065,0.1742,-2.442,40360.22,40.36,-9.898,4.078,3.749,0.209,0.606,0.185,11.99,multi_ticker_swing_htf,127
23174,0.3534,1.062,0.1675,-2.4532,38818.72,38.819,-10.978,3.536,3.61,0.205,0.605,0.19,12.08,multi_ticker_swing_htf,128
23174,0.3507,1.061,0.1633,-2.4578,37845.71,37.846,-11.192,3.381,3.526,0.203,0.608,0.19,12.12,multi_ticker_swing_htf,129
23174,0.3486,1.032,0.0854,-2.4752,19790.57,19.791,-15.677,1.262,1.871,0.202,0.608,0.19,12.05,multi_ticker_swing_htf,130
23174,0.3474,1.033,0.0897,-2.4871,20776.23,20.776,-10.701,1.941,1.966,0.203,0.611,0.186,12.03,multi_ticker_swing_htf,131
23174,0.355,1.088,0.234,-2.4282,54219.87,54.22,-12.664,4.282,5.005,0.206,0.605,0.189,12.11,multi_ticker_swing_htf,132
