group,policy,n,mean,median,win,std,ret_std,avg_hold,ret_per_bar,stop,trail,target,scale_frac,horizon,grace
baseline,rank drop-out g=0 (old live),3327,0.005670805739142716,0.0006839611119253686,0.5103697024346258,0.0686255172013188,0.08263406922685805,1.7240757439134355,0.0029071119154474166,,,,,,0.0
baseline,target +20% full exit,1259,0.05865179284546355,0.157118901844558,0.6656076250992852,0.17529491866532537,0.33458923562663034,42.72835583796664,0.00916560749866532,,,0.2,1.0,,
baseline,scale 50%@+20% + horizon25,1430,0.04958572886214952,0.02635657701893457,0.5895104895104896,0.26140563073104944,0.1896888323464097,25.0,0.001983429154485981,,,0.2,0.5,25.0,
deployed,LIVE: stop50 + trail35 + scale50@+20 + hz25,1441,0.04400654876663957,0.02587694077055791,0.5863983344899375,0.17571444714159695,0.2504435433881969,24.610687022900763,0.0013192354217980156,0.5,0.35,0.2,0.5,25.0,
stop_sens,stop 15% + scale50@+20 + hz25,1527,0.04103671903843803,0.01873048907388153,0.5546823837590046,0.16548157942149683,0.24798360749212894,21.89652914210871,-0.00221448096126211,0.15,,0.2,0.5,25.0,
stop_sens,stop 25% + scale50@+20 + hz25,1454,0.04397595894369798,0.02508518382128866,0.5839064649243466,0.1700365578825769,0.25862649474512833,24.23658872077029,0.0007106017654980748,0.25,,0.2,0.5,25.0,
stop_sens,stop 50% + scale50@+20 + hz25,1431,0.049550225274938735,0.026431718061673992,0.5897973445143256,0.2615668983199913,0.18943614652004176,24.977638015373863,0.001936003886376073,0.5,,0.2,0.5,25.0,
trail_sens,trail 15% + scale50@+20 + hz25,1664,0.033581651172148015,0.002904803834028913,0.5066105769230769,0.14406357244766346,0.23310300169286596,18.553485576923077,-0.0021654757382476328,,0.15,0.2,0.5,25.0,
trail_sens,trail 25% + scale50@+20 + hz25,1474,0.04330515352395193,0.025188389443266623,0.5793758480325645,0.17535015216019367,0.24696387764973182,23.388738127544098,0.0004358500894835246,,0.25,0.2,0.5,25.0,
trail_sens,trail 35% + scale50@+20 + hz25,1441,0.04400654876663957,0.02587694077055791,0.5863983344899375,0.17571444714159695,0.2504435433881969,24.610687022900763,0.0013192354217980156,,0.35,0.2,0.5,25.0,
