theme,mapped_constituents,membership_pct,category
small_cap_momentum,198,0.1281,Style
semis_compute,47,0.0304,Technology
power_grid_electrification,46,0.0298,Utilities/Industrials
enterprise_software,46,0.0298,Technology
biotech_innovation,43,0.0278,Healthcare
etf_benchmarks,31,0.0201,Benchmark
consumer_internet_marketplaces,27,0.0175,Consumer/Communication
banks_brokers_exchanges,26,0.0168,Financials
datacenter_infra,26,0.0168,Industrials/Real Estate
renewables_storage,25,0.0162,Energy/Industrials
defense_aerospace,25,0.0162,Industrials
copper_metals,24,0.0155,Materials
ai_apps_agents,24,0.0155,Technology
energy,24,0.0155,Energy
fintech_payments,23,0.0149,Financials/Technology
airlines_travel,22,0.0142,Consumer/Industrials
retail_consumer,22,0.0142,Consumer
construction_infrastructure,22,0.0142,Industrials/Materials
utilities_yield,22,0.0142,Utilities
industrial_automation,22,0.0142,Industrials
real_estate_reits,21,0.0136,Real Estate
oil_gas,20,0.0129,Energy
space_satellites,20,0.0129,Industrials/Communication
transport_logistics,19,0.0123,Industrials
apparel_beauty_lifestyle,19,0.0123,Consumer
cloud_neocloud,19,0.0123,Technology
crypto_infrastructure,19,0.0123,Financials/Technology
medtech_devices,18,0.0116,Healthcare
mega_cap_platforms,17,0.011,Technology
gold_silver_miners,17,0.011,Materials
cybersecurity,17,0.011,Technology
china_internet,17,0.011,Technology
homebuilders_housing,17,0.011,Consumer/Industrials
networking_optical,16,0.0103,Technology
semis,16,0.0103,Technology
digital_ads_media,16,0.0103,Communication
restaurants_food,16,0.0103,Consumer
pharma_largecap,15,0.0097,Healthcare
semicap_equipment,15,0.0097,Technology
asset_managers_alts,15,0.0097,Financials
drones_autonomy,13,0.0084,Industrials
agriculture_food_inputs,13,0.0084,Consumer/Materials
electronics_components,13,0.0084,Technology/Industrials
diagnostics_tools,12,0.0078,Healthcare
biotech,12,0.0078,Healthcare
oil_services,12,0.0078,Energy
fintech,12,0.0078,Financials
rare_earth_critical_minerals,12,0.0078,Materials
aerospace,12,0.0078,Industrials
defense,12,0.0078,Industrials
consumer_staples,12,0.0078,Consumer
gaming_sports_betting,11,0.0071,Consumer/Communication
nuclear_uranium,11,0.0071,Energy/Utilities
robotics,11,0.0071,Industrials
streaming_entertainment,11,0.0071,Communication
pharma,10,0.0065,Healthcare
lithium_battery_materials,10,0.0065,Materials
memory_storage,10,0.0065,Technology
autos,10,0.0065,Consumer
payments,9,0.0058,Financials
ai_apps,9,0.0058,Technology
managed_care_insurance,9,0.0058,Healthcare
quantum_computing,9,0.0058,Technology
consumer_internet,9,0.0058,Technology
ai_infrastructure,8,0.0052,Technology
mega_banks,8,0.0052,Financials
medtech,8,0.0052,Healthcare
nuclear,8,0.0052,Energy
travel,7,0.0045,Consumer
gold,7,0.0045,Materials
oil_exploration,7,0.0045,Energy
asset_managers,7,0.0045,Financials
restaurants,7,0.0045,Consumer
regional_banks,7,0.0045,Financials
retail,7,0.0045,Consumer
insurance,6,0.0039,Financials
datacenter_reits_towers,6,0.0039,Real Estate/Communication
uranium,6,0.0039,Energy
consumer,6,0.0039,Consumer
obesity_glp1_health,6,0.0039,Healthcare
business_apps,5,0.0032,Technology
cloud,5,0.0032,Technology
networking,5,0.0032,Technology
managed_care,5,0.0032,Healthcare
healthcare,5,0.0032,Healthcare
data_centers,5,0.0032,Technology
natural_gas,5,0.0032,Energy
workflow_software,5,0.0032,Technology
silver,5,0.0032,Materials
creative_software,4,0.0026,Technology
vertical_software,4,0.0026,Technology
dev_tools,4,0.0026,Technology
solar,4,0.0026,Energy
oil_integrated,3,0.0019,Energy
copper,3,0.0019,Materials
memory,3,0.0019,Technology
storage,3,0.0019,Technology
small_caps,1,0.0006,Macro
growth,1,0.0006,Macro
market,1,0.0006,Macro
long_bonds,1,0.0006,Macro
