theme,category,min_constituents,max_constituents,allow_etfs,benchmark,is_tradable,is_watchlist_only
enterprise_software,Technology,6,25,False,SPY,False,True
workflow_software,Technology,6,25,False,SPY,True,False
dev_tools,Technology,6,25,False,SPY,True,False
business_apps,Technology,6,25,False,SPY,True,False
vertical_software,Technology,6,25,False,SPY,True,False
creative_software,Technology,6,25,False,SPY,True,False
cybersecurity,Technology,6,25,False,SPY,True,False
cloud,Technology,6,25,False,SPY,True,False
ai_apps,Technology,6,25,False,SPY,True,False
ai_infrastructure,Technology,6,25,False,SPY,True,False
semis,Technology,6,25,False,SPY,True,False
memory,Technology,6,25,False,SPY,True,False
storage,Technology,6,25,False,SPY,True,False
networking,Technology,6,25,False,SPY,True,False
data_centers,Technology,6,25,False,SPY,True,False
consumer_internet,Technology,6,25,False,SPY,True,False
china_internet,Technology,6,25,True,SPY,True,False
mega_banks,Financials,6,25,False,SPY,True,False
regional_banks,Financials,6,25,False,SPY,True,False
insurance,Financials,6,25,False,SPY,True,False
asset_managers,Financials,6,25,False,SPY,True,False
fintech,Financials,6,25,False,SPY,True,False
payments,Financials,6,25,False,SPY,True,False
pharma,Healthcare,6,25,True,SPY,True,False
biotech,Healthcare,6,25,False,SPY,True,False
medtech,Healthcare,6,25,False,SPY,True,False
managed_care,Healthcare,6,25,False,SPY,True,False
healthcare,Healthcare,6,25,False,SPY,True,False
oil_integrated,Energy,6,25,True,SPY,True,False
oil_exploration,Energy,6,25,True,SPY,True,False
oil_services,Energy,6,25,False,SPY,True,False
natural_gas,Energy,6,25,False,SPY,True,False
solar,Energy,6,25,False,SPY,True,False
nuclear,Energy,6,25,False,SPY,True,False
uranium,Energy,6,25,False,SPY,True,False
energy,Energy,6,25,False,SPY,True,False
gold,Materials,6,25,True,SPY,True,False
silver,Materials,6,25,True,SPY,True,False
copper,Materials,6,25,False,SPY,True,False
defense,Industrials,6,25,False,SPY,True,False
aerospace,Industrials,6,25,False,SPY,True,False
robotics,Industrials,6,25,False,SPY,True,False
retail,Consumer,6,25,False,SPY,True,False
consumer,Consumer,6,25,False,SPY,True,False
restaurants,Consumer,6,25,False,SPY,True,False
travel,Consumer,6,25,False,SPY,True,False
autos,Consumer,6,25,False,SPY,True,False
consumer_staples,Consumer,6,25,False,SPY,True,False
small_cap_momentum,Style,6,25,False,SPY,True,False
market,Macro,1,25,True,SPY,False,True
growth,Macro,1,25,True,SPY,False,True
small_caps,Macro,1,25,True,SPY,False,True
long_bonds,Macro,1,25,True,SPY,False,True
