theme,start,end,days,peak_return,avg_return
advanced_packaging,2018-01-02,2018-01-02,1,,
aerospace,2018-01-02,2018-01-02,1,,
agriculture_food_inputs,2018-01-02,2018-01-04,3,0.009089982884146733,0.005078205904351577
energy,2018-01-03,2018-01-03,1,0.013072868974713348,0.013072868974713348
homebuilders_housing,2018-01-03,2018-01-03,1,0.020299290312484675,0.020299290312484675
oil_exploration,2018-01-03,2018-01-03,1,0.01635000226299978,0.01635000226299978
mega_banks,2018-01-04,2018-01-04,1,0.014021736346674427,0.014021736346674427
silver,2018-01-04,2018-01-04,1,0.010862220808419285,0.010862220808419285
medtech,2018-01-05,2018-01-05,1,0.013916507968798425,0.013916507968798425
medtech_devices,2018-01-05,2018-01-05,1,0.020315786405983877,0.020315786405983877
pharma_largecap,2018-01-05,2018-01-05,1,0.009044892083915835,0.009044892083915835
oil_services,2018-01-08,2018-01-11,4,0.032535135212988044,0.014204166051877729
power_grid_electrification,2018-01-08,2018-01-08,1,0.0054870988029784035,0.0054870988029784035
utilities_yield,2018-01-08,2018-01-08,1,0.00903845196368178,0.00903845196368178
diagnostics_tools,2018-01-09,2018-01-09,1,0.03168072953761035,0.03168072953761035
fintech,2018-01-09,2018-01-09,1,0.004939113765538794,0.004939113765538794
payments,2018-01-09,2018-01-09,1,0.0032550651452540047,0.0032550651452540047
fintech_payments,2018-01-10,2018-01-10,1,0.007045207874838027,0.007045207874838027
regional_banks,2018-01-10,2018-01-10,1,0.012265959387467726,0.012265959387467726
asset_managers,2018-01-11,2018-01-12,2,0.018144566236267496,0.013118052926721795
electronics_components,2018-01-11,2018-01-12,2,0.0161051752402312,0.014021359611823665
airlines_travel,2018-01-12,2018-01-12,1,0.01564346751572023,0.01564346751572023
gold_silver_miners,2018-01-16,2018-01-16,1,0.011927241515407153,0.011927241515407153
managed_care_insurance,2018-01-16,2018-01-17,2,0.024332362634721567,0.019151660056805103
pharma,2018-01-16,2018-01-19,4,0.014455194339973642,0.0058579476594473375
storage,2018-01-17,2018-01-17,1,0.0315716150140642,0.0315716150140642
retail_consumer,2018-01-18,2018-01-18,1,0.002125137828816595,0.002125137828816595
semicap_equipment,2018-01-18,2018-01-18,1,0.012767830340065138,0.012767830340065138
semis,2018-01-18,2018-01-18,1,0.008480371876804385,0.008480371876804385
apparel_beauty_lifestyle,2018-01-19,2018-01-23,3,0.025863588282365194,0.016206975835531448
consumer_staples,2018-01-19,2018-01-19,1,0.00947975085896339,0.00947975085896339
