date,action,theme,theme_rank,theme_score,tickers
2018-01-02,enter,advanced_packaging,1.0,0.2283868092691622,AMAT|AMKR|ASX
2018-01-02,enter,aerospace,2.0,0.2283868092691622,BA|GD|GE
2018-01-02,enter,agriculture_food_inputs,3.0,0.2283868092691622,ADM|AGCO|BG
2018-01-03,exit,advanced_packaging,85.0,0.1878342245989305,AMAT|AMKR|ASX
2018-01-03,exit,aerospace,53.0,0.2907754010695187,BA|GD|GE
2018-01-03,exit,agriculture_food_inputs,61.0,0.28141711229946526,ADM|AGCO|BG
2018-01-03,enter,energy,1.0,0.42825311942959005,APA|BKR|BP
2018-01-03,enter,oil_exploration,2.0,0.4251336898395722,APA|COP|DVN
2018-01-03,enter,homebuilders_housing,3.0,0.42290552584670227,BLD|BLDR|CCS
2018-01-04,exit,energy,26.0,0.3589572192513369,APA|BKR|BP
2018-01-04,exit,oil_exploration,28.0,0.35628342245989303,APA|COP|DVN
2018-01-04,exit,homebuilders_housing,60.0,0.26314616755793224,BLD|BLDR|CCS
2018-01-04,enter,agriculture_food_inputs,1.0,0.44162210338680924,ADM|AGCO|BG
2018-01-04,enter,mega_banks,2.0,0.42825311942959005,AXP|BAC|C
2018-01-04,enter,silver,3.0,0.4148841354723708,AG|FNV|HL
2018-01-05,exit,agriculture_food_inputs,44.0,0.29233511586452765,ADM|AGCO|BG
2018-01-05,exit,mega_banks,80.0,0.2237076648841355,AXP|BAC|C
2018-01-05,exit,silver,91.0,0.19206773618538323,AG|FNV|HL
2018-01-05,enter,pharma_largecap,1.0,0.42914438502673796,ABBV|AMGN|AZN
2018-01-05,enter,medtech_devices,2.0,0.4262477718360071,ATEC|BSX|COO
2018-01-05,enter,medtech,3.0,0.4182263814616755,BSX|DXCM|EW
2018-01-08,exit,pharma_largecap,68.0,0.24955436720142601,ABBV|AMGN|AZN
2018-01-08,exit,medtech,27.0,0.34380570409982175,BSX|DXCM|EW
2018-01-08,enter,utilities_yield,1.0,0.45098039215686275,AEP|AES|CMS
2018-01-08,enter,power_grid_electrification,2.0,0.4304812834224599,ACM|AEP|AES
2018-01-08,enter,oil_services,3.0,0.4298128342245989,AROC|BKR|FTI
2018-01-09,exit,medtech_devices,17.0,0.5835561497326203,ATEC|BSX|COO
2018-01-09,exit,utilities_yield,80.0,0.303475935828877,AEP|AES|CMS
2018-01-09,exit,power_grid_electrification,66.0,0.37344028520499106,ACM|AEP|AES
2018-01-09,exit,oil_services,15.0,0.5873440285204992,AROC|BKR|FTI
2018-01-09,enter,payments,1.0,0.6882798573975044,XYZ|PYPL|GPN
2018-01-09,enter,fintech,2.0,0.658422459893048,XYZ|PYPL|GPN
2018-01-09,enter,diagnostics_tools,3.0,0.6499554367201427,ILMN|TMO|DHR
2018-01-10,exit,diagnostics_tools,41.0,0.4456327985739751,ILMN|TMO|DHR
2018-01-10,enter,regional_banks,1.0,0.696524064171123,HBAN|TFC|KEY
2018-01-10,enter,oil_services,2.0,0.6862745098039216,NBR|SLB|RIG
2018-01-10,enter,fintech_payments,3.0,0.6671122994652408,XYZ|FISV|MA
2018-01-11,exit,payments,32.0,0.5276292335115864,XYZ|PYPL|GPN
2018-01-11,exit,fintech,5.0,0.62277183600713,XYZ|PYPL|GPN
2018-01-11,exit,regional_banks,6.0,0.6218805704099823,HBAN|TFC|KEY
2018-01-11,exit,fintech_payments,23.0,0.5505793226381461,XYZ|FISV|MA
2018-01-11,enter,asset_managers,2.0,0.641042780748663,TROW|KKR|SCHW
2018-01-11,enter,electronics_components,3.0,0.641042780748663,IPGP|LITE|COHR
2018-01-12,exit,oil_services,27.0,0.5427807486631016,NBR|SLB|RIG
2018-01-12,enter,airlines_travel,2.0,0.6321301247771837,UAL|AAL|H
2018-01-16,exit,electronics_components,48.0,0.51849376114082,IPGP|LITE|COHR
2018-01-16,exit,airlines_travel,41.0,0.5394385026737968,UAL|AAL|H
2018-01-16,enter,managed_care_insurance,1.0,0.7840909090909091,MOH|HUM|UNH
2018-01-16,enter,pharma,2.0,0.7602495543672014,MRK|ABBV|GILD
2018-01-16,enter,gold_silver_miners,3.0,0.7584670231729055,PAAS|BTG|AG
2018-01-17,exit,asset_managers,26.0,0.6203208556149733,TROW|KKR|SCHW
2018-01-17,exit,gold_silver_miners,19.0,0.6394830659536542,PAAS|BTG|AG
2018-01-17,enter,storage,1.0,0.8257575757575756,PSTG|HPQ|STX
2018-01-18,exit,managed_care_insurance,8.0,0.7417557932263816,MOH|HUM|UNH
2018-01-18,exit,pharma,26.0,0.6258912655971479,MRK|ABBV|GILD
2018-01-18,exit,storage,23.0,0.642602495543672,PSTG|HPQ|STX
2018-01-18,enter,semicap_equipment,1.0,0.8275401069518719,ICHR|ASML|UCTT
2018-01-18,enter,semis,2.0,0.8059269162210339,ON|TSM|AMAT
2018-01-18,enter,retail_consumer,3.0,0.7976827094474154,LOW|TGT|WMT
2018-01-19,exit,semicap_equipment,26.0,0.626114081996435,ICHR|ASML|UCTT
2018-01-19,exit,semis,30.0,0.6131907308377895,ON|TSM|AMAT
2018-01-19,exit,retail_consumer,11.0,0.6798128342245989,LOW|TGT|WMT
2018-01-19,enter,consumer_staples,1.0,0.8126114081996434,CL|KR|WMT
2018-01-19,enter,pharma,2.0,0.7629233511586453,NVO|ABBV|MRK
2018-01-19,enter,apparel_beauty_lifestyle,3.0,0.732843137254902,CELH|HLF|TPR
2018-01-22,exit,consumer_staples,7.0,0.7165775401069517,CL|KR|WMT
2018-01-22,exit,pharma,9.0,0.7125668449197862,NVO|ABBV|MRK
2018-01-22,exit,apparel_beauty_lifestyle,23.0,0.6361408199643495,CELH|HLF|TPR
2018-01-22,enter,managed_care_insurance,1.0,0.7981283422459893,MOH|UNH|HUM
2018-01-22,enter,biotech,2.0,0.7671568627450981,AMGN|ABBV|CRSP
2018-01-22,enter,managed_care,3.0,0.7613636363636364,MOH|UNH|HUM
2018-01-23,exit,managed_care_insurance,62.0,0.4436274509803922,MOH|UNH|HUM
2018-01-23,exit,biotech,10.0,0.7096702317290553,AMGN|ABBV|CRSP
2018-01-23,exit,managed_care,69.0,0.4019607843137255,MOH|UNH|HUM
2018-01-23,enter,creative_software,1.0,0.7825311942959001,PTC|ADSK|ADBE
2018-01-23,enter,apparel_beauty_lifestyle,2.0,0.7678253119429591,HLF|UAA|BBWI
2018-01-23,enter,storage,3.0,0.7335115864527629,PSTG|HPE|HPQ
2018-01-24,exit,creative_software,47.0,0.553030303030303,PTC|ADSK|ADBE
2018-01-24,exit,apparel_beauty_lifestyle,16.0,0.6586452762923352,HLF|UAA|BBWI
2018-01-24,exit,storage,58.0,0.4770499108734403,PSTG|HPE|HPQ
2018-01-24,enter,mega_banks,1.0,0.7473262032085561,GS|BAC|MS
2018-01-24,enter,insurance,2.0,0.7419786096256685,TRV|CB|AIG
2018-01-24,enter,gold_silver_miners,3.0,0.6911764705882353,AU|KGC|NEM
2018-01-25,exit,mega_banks,30.0,0.6094028520499108,GS|BAC|MS
2018-01-25,exit,insurance,9.0,0.7254901960784315,TRV|CB|AIG
2018-01-25,exit,gold_silver_miners,38.0,0.5684046345811052,AU|KGC|NEM
2018-01-25,enter,fintech_payments,1.0,0.7611408199643495,GPN|XYZ|FIS
2018-01-25,enter,ai_apps_agents,2.0,0.7598039215686274,GOOGL|META|MSFT
2018-01-25,enter,mega_cap_platforms,3.0,0.7533422459893048,NFLX|AMZN|COST
2018-01-26,exit,fintech_payments,18.0,0.6470588235294119,GPN|XYZ|FIS
2018-01-26,enter,datacenter_reits_towers,2.0,0.7889928698752228,AMT|COR|DLR
2018-01-26,enter,data_centers,3.0,0.7840909090909091,PSTG|SMCI|DLR
2018-01-29,exit,ai_apps_agents,62.0,0.4634581105169341,GOOGL|META|MSFT
2018-01-29,exit,mega_cap_platforms,6.0,0.766711229946524,NFLX|AMZN|COST
2018-01-29,exit,datacenter_reits_towers,52.0,0.500668449197861,AMT|COR|DLR
2018-01-29,enter,biotech,1.0,0.8950534759358288,NTLA|ABBV|GILD
2018-01-29,enter,defense,3.0,0.7970142602495544,NOC|HEI|GD
2018-01-30,exit,data_centers,2.0,0.7796345811051693,PSTG|SMCI|DLR
2018-01-30,exit,biotech,16.0,0.6575311942959001,NTLA|ABBV|GILD
2018-01-30,enter,data_centers,2.0,0.7796345811051693,SMCI|PSTG|CSCO
2018-01-30,enter,drones_autonomy,3.0,0.749777183600713,KTOS|TXT|AXON
2018-01-31,exit,defense,9.0,0.7150178253119429,NOC|HEI|GD
2018-01-31,exit,data_centers,11.0,0.7096702317290553,SMCI|PSTG|CSCO
2018-01-31,exit,drones_autonomy,50.0,0.47682709447415333,KTOS|TXT|AXON
2018-01-31,enter,utilities_yield,1.0,0.7979055258467023,NEE|PEG|AES
2018-01-31,enter,real_estate_reits,2.0,0.7901069518716577,VICI|AMT|SBAC
2018-01-31,enter,datacenter_reits_towers,3.0,0.7691622103386809,AMT|SBAC|DLR
2018-02-01,exit,utilities_yield,51.0,0.5300802139037434,NEE|PEG|AES
2018-02-01,exit,real_estate_reits,60.0,0.45989304812834214,VICI|AMT|SBAC
2018-02-01,exit,datacenter_reits_towers,29.0,0.607620320855615,AMT|SBAC|DLR
2018-02-01,enter,networking_optical,1.0,0.7713903743315509,NOK|LITE|EXTR
2018-02-01,enter,defense,2.0,0.7684937611408199,NOC|LMT|LHX
2018-02-01,enter,datacenter_infra,3.0,0.7647058823529412,TTEK|ETN|TT
2018-02-02,exit,defense,9.0,0.7268270944741532,NOC|LMT|LHX
2018-02-02,enter,apparel_beauty_lifestyle,1.0,0.8511586452762921,DECK|KDP|HLF
2018-02-02,enter,real_estate_reits,3.0,0.786541889483066,VICI|AMT|COLD
2018-02-05,exit,networking_optical,8.0,0.6918449197860962,NOK|LITE|EXTR
