theme,start,end,days,avg_rank,max_rank,total_return
aerospace,2018-01-02,2018-01-08,4,3.6,14.0,0.029096411300741032
ai_apps,2018-01-02,2018-01-08,4,5.8,21.0,0.023310786570535313
ai_infrastructure,2018-01-02,2018-01-09,5,5.5,16.0,0.03693953672384276
asset_managers,2018-01-02,2018-01-08,4,6.2,15.0,0.023851438752205523
autos,2018-01-02,2018-01-09,5,9.166666666666666,24.0,0.04176759780691941
business_apps,2018-01-08,2018-02-02,18,7.947368421052632,14.0,0.03671377875822657
fintech,2018-01-08,2018-02-08,22,4.826086956521739,16.0,-0.040370938036079385
vertical_software,2018-01-08,2018-01-25,12,5.538461538461538,13.0,0.06173600523357825
workflow_software,2018-01-08,2018-03-27,54,2.672727272727273,17.0,0.13524508174787098
regional_banks,2018-01-09,2018-02-22,30,5.903225806451613,22.0,0.032613865785704466
asset_managers,2018-01-10,2018-01-30,13,4.714285714285714,21.0,0.04476753083500751
payments,2018-01-10,2018-02-06,18,7.7894736842105265,14.0,-0.0046312115763862405
robotics,2018-01-16,2018-01-24,6,8.285714285714286,22.0,0.006203118389101814
retail,2018-01-19,2018-02-09,15,4.8125,13.0,-0.03986785890453737
insurance,2018-01-25,2018-01-31,4,10.6,15.0,-0.02146123409311196
pharma,2018-01-26,2018-01-31,3,9.25,25.0,-0.009664432333108763
cloud,2018-01-30,2018-04-03,43,4.818181818181818,15.0,0.01151754188740406
consumer_internet,2018-02-05,2018-02-22,12,8.692307692307692,16.0,0.01860113156965304
ai_apps,2018-02-07,2018-03-15,25,5.423076923076923,13.0,0.16979528430533697
defense,2018-02-07,2018-03-05,17,5.944444444444445,14.0,0.0737706369345652
cybersecurity,2018-02-09,2018-03-19,25,4.346153846153846,13.0,0.1449720580530034
business_apps,2018-02-13,2018-03-23,27,3.392857142857143,16.0,0.0741157516649038
payments,2018-02-26,2018-03-01,3,9.0,14.0,-0.018598017610910733
dev_tools,2018-02-27,2018-04-06,27,4.392857142857143,18.0,0.0642113124006829
vertical_software,2018-03-07,2018-03-20,9,7.4,16.0,0.011184252645600523
fintech,2018-03-15,2018-03-28,9,5.6,16.0,-0.07116583169518265
china_internet,2018-03-16,2018-03-21,3,8.0,15.0,-0.01361116948577179
payments,2018-03-20,2018-03-22,2,7.666666666666667,15.0,-0.02411181831202147
oil_exploration,2018-03-21,2018-05-24,45,2.717391304347826,16.0,0.18920312042515897
gold,2018-03-22,2018-04-30,26,3.5555555555555554,26.0,0.04839166400737693
medtech,2018-03-23,2018-03-26,1,9.0,13.0,0.009070196291237176
business_apps,2018-03-26,2018-03-28,2,11.333333333333334,18.0,-0.010383528563944089
restaurants,2018-03-27,2018-05-09,30,5.290322580645161,15.0,0.08673857107404226
