theme,theme_num_constituents,is_tradable,is_watchlist_only
power_grid_electrification,46,True,False
enterprise_software,46,False,True
semis_compute,43,True,False
etf_benchmarks,32,False,True
consumer_internet_marketplaces,27,True,False
energy,27,True,False
defense_aerospace,27,True,False
datacenter_infra,26,True,False
oil_gas,26,True,False
banks_brokers_exchanges,25,True,False
biotech_innovation,23,True,False
copper_metals,22,True,False
utilities_yield,22,True,False
industrial_automation,22,True,False
retail_consumer,21,True,False
construction_infrastructure,21,True,False
fintech_payments,21,True,False
airlines_travel,21,True,False
real_estate_reits,20,True,False
ai_apps_agents,20,True,False
apparel_beauty_lifestyle,19,True,False
transport_logistics,19,True,False
renewables_storage,19,True,False
space_satellites,19,True,False
crypto_infrastructure,19,True,False
cloud_neocloud,18,True,False
medtech_devices,18,True,False
gold_silver_miners,17,True,False
mega_cap_platforms,17,True,False
semicap_equipment,16,True,False
china_internet,16,True,False
restaurants_food,16,True,False
homebuilders_housing,16,True,False
cybersecurity,16,True,False
semis,15,True,False
digital_ads_media,15,True,False
pharma_largecap,15,True,False
asset_managers_alts,15,True,False
networking_optical,14,True,False
healthcare,14,True,False
electronics_components,14,True,False
agriculture_food_inputs,13,True,False
defense,13,True,False
fintech,12,True,False
aerospace,12,True,False
consumer_staples,12,True,False
oil_services,12,True,False
biotech,11,True,False
nuclear_uranium,11,True,False
streaming_entertainment,11,True,False
drones_autonomy,11,True,False
gaming_sports_betting,11,True,False
diagnostics_tools,10,True,False
robotics,10,True,False
autos,10,True,False
pharma,10,True,False
managed_care_insurance,9,True,False
managed_care,9,True,False
advanced_packaging,9,True,False
business_apps,9,True,False
consumer_internet,9,True,False
ai_apps,9,True,False
payments,9,True,False
storage,8,True,False
medtech,8,True,False
nuclear,8,True,False
lithium_battery_materials,8,True,False
regional_banks,7,True,False
mega_banks,7,True,False
quantum_computing,7,True,False
asset_managers,7,True,False
retail,7,True,False
oil_exploration,7,True,False
rare_earth_critical_minerals,7,True,False
travel,7,True,False
gold,7,True,False
silver,7,True,False
data_centers,7,True,False
restaurants,7,True,False
memory_storage,7,True,False
cloud,6,True,False
datacenter_reits_towers,6,True,False
ai_infrastructure,6,True,False
insurance,6,True,False
networking,6,True,False
solar,6,True,False
workflow_software,6,True,False
natural_gas,6,True,False
memory,6,True,False
creative_software,6,True,False
vertical_software,6,True,False
oil_integrated,6,True,False
consumer,6,True,False
dev_tools,6,True,False
uranium,6,True,False
copper,6,True,False
obesity_glp1_health,4,True,False
additive_manufacturing,4,True,False
growth,1,False,True
hardware_devices,1,False,True
long_bonds,1,False,True
market,1,False,True
small_caps,1,False,True
