ticker,asset_type,date,px,avg_dollar_volume_20d,market_cap,min_price,min_avg_dollar_volume_20d,min_market_cap,market_cap_missing,is_exception,passes_price,passes_adv20,passes_market_cap,is_eligible
A,stock,2026-06-01,135.93,17299257.886749998,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
AA,stock,2026-06-01,77.765,12615299.714,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
AAL,stock,2026-06-01,14.34,32453532.675499998,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
AAOI,stock,2026-06-01,185.59,53444485.054000005,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
AAON,stock,2026-06-01,138.85,13307274.11725,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
AAP,stock,2026-06-01,59.31,8039939.67975,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
AAPL,stock,2026-06-01,306.265,403149579.777,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
ABBV,stock,2026-06-01,212.96,49308233.5265,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
ABCL,stock,2026-06-01,6.46,2060816.4870000002,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
ABNB,stock,2026-06-01,137.85,28192633.725,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
ABR,stock,2026-06-01,5.5,1767017.3372499999,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
ABSI,stock,2026-06-01,6.525,1464968.3809999998,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
ABT,stock,2026-06-01,87.735,49453442.9185,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
ABVX,stock,2026-06-01,129.5,7126760.71875,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
ACHR,stock,2026-06-01,6.85,7329243.0465,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
ACLS,stock,2026-06-01,150.5,6221815.49125,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
ACM,stock,2026-06-01,72.33,8004289.37925,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
ACMR,stock,2026-06-01,82.07,7228020.17975,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
ACN,stock,2026-06-01,196.63,53549849.50775,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
ACVA,stock,2026-06-01,6.55,1794019.0939999998,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
ADBE,stock,2026-06-01,274.02,41723337.731,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
ADEA,stock,2026-06-01,28.56,3938432.172,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
ADI,stock,2026-06-01,402.82,80734192.9095,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
ADM,stock,2026-06-01,82.64,16248103.538250003,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
ADNT,stock,2026-06-01,22.69,1258966.732,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
ADSK,stock,2026-06-01,248.28,31403049.404999994,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
ADT,stock,2026-06-01,6.75,7271097.077249999,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
ADTN,stock,2026-06-01,17.875,2196579.74375,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
AEHR,stock,2026-06-01,93.65,6064134.83925,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
AEIS,stock,2026-06-01,294.7,28758729.152749997,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
AEM,stock,2026-06-01,176.51,20471346.82925,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
AEO,stock,2026-06-01,16.14,6993694.0145,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
AEP,stock,2026-06-01,123.75,34524369.18725,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
AER,stock,2026-06-01,136.34,11169984.14475,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
AES,stock,2026-06-01,14.7,8332167.91075,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
