"theme","category","min_constituents","max_constituents","allow_etfs","benchmark","is_tradable","is_watchlist_only"
"additive_manufacturing","Industrials","3","15","False","SPY","True","False"
"advanced_packaging","Technology","6","20","False","SMH","True","False"
"aerospace","Industrials","6","25","False","SPY","True","False"
"agriculture_food_inputs","Consumer/Materials","6","30","False","MOO","True","False"
"ai_apps","Technology","6","25","False","SPY","True","False"
"ai_apps_agents","Technology","8","40","False","IGV","True","False"
"ai_infrastructure","Technology","6","25","False","SPY","True","False"
"airlines_travel","Consumer/Industrials","8","35","False","JETS","True","False"
"apparel_beauty_lifestyle","Consumer","8","35","False","XLY","True","False"
"asset_managers","Financials","6","25","False","SPY","True","False"
"asset_managers_alts","Financials","8","35","False","XLF","True","False"
"autos","Consumer","6","25","False","SPY","True","False"
"banks_brokers_exchanges","Financials","12","50","False","XLF","True","False"
"biotech","Healthcare","6","25","False","SPY","False","True"
"biotech_innovation","Healthcare","12","50","False","XBI","True","False"
"business_apps","Technology","6","25","False","SPY","True","False"
"china_internet","Technology","6","25","True","SPY","True","False"
"cloud","Technology","6","25","False","XLK","True","False"
"cloud_neocloud","Technology","8","35","False","QQQ","True","False"
"construction_infrastructure","Industrials/Materials","10","40","False","PAVE","True","False"
"consumer","Consumer","6","25","False","SPY","True","False"
"consumer_internet","Technology","6","25","False","SPY","True","False"
"consumer_internet_marketplaces","Consumer/Communication","10","45","False","XLC","True","False"
"consumer_staples","Consumer","6","25","False","SPY","True","False"
"copper","Materials","6","25","False","SPY","True","False"
"copper_metals","Materials","6","30","False","XME","True","False"
"creative_software","Technology","6","25","False","SPY","True","False"
"crypto_infrastructure","Financials/Technology","8","35","False","BTC","True","False"
"cybersecurity","Technology","6","25","False","SPY","True","False"
"data_centers","Technology","6","25","False","SPY","True","False"
"datacenter_infra","Industrials/Real Estate","8","35","False","XLI","True","False"
"datacenter_reits_towers","Real Estate/Communication","6","25","False","VNQ","True","False"
"defense","Industrials","6","25","False","SPY","True","False"
"defense_aerospace","Industrials","10","40","False","ITA","True","False"
"dev_tools","Technology","6","25","False","SPY","True","False"
"diagnostics_tools","Healthcare","6","30","False","IHI","True","False"
"digital_ads_media","Communication","8","35","False","XLC","True","False"
"drones_autonomy","Industrials","5","25","False","ITA","True","False"
"electronics_components","Technology/Industrials","8","35","False","XLI","True","False"
"energy","Energy","6","25","False","SPY","True","False"
"enterprise_software","Technology","6","25","False","SPY","False","True"
"etf_benchmarks","Benchmark","4","30","True","SPY","False","True"
"fintech","Financials","6","25","False","SPY","True","False"
"fintech_payments","Financials/Technology","10","45","False","ARKF","True","False"
"gaming_sports_betting","Consumer/Communication","6","30","False","BETZ","True","False"
"gold","Materials","6","25","True","SPY","True","False"
