"ticker","asset_type","theme_1","theme_2","theme_3"
"A","stock","diagnostics_tools","",""
"AA","stock","copper_metals","",""
"AAL","stock","transport_logistics","airlines_travel",""
"AAOI","stock","semis_compute","networking_optical",""
"AAP","stock","retail_consumer","",""
"AAPL","stock","mega_cap_platforms","",""
"ABBV","stock","pharma_largecap","pharma","biotech"
"ABCL","stock","biotech_innovation","",""
"ABNB","stock","consumer_internet_marketplaces","airlines_travel","travel"
"ABR","stock","banks_brokers_exchanges","real_estate_reits",""
"ABSI","stock","biotech_innovation","",""
"ACHR","stock","drones_autonomy","",""
"ACLS","stock","semicap_equipment","",""
"ACM","stock","datacenter_infra","power_grid_electrification","construction_infrastructure"
"ACVA","stock","consumer_internet_marketplaces","",""
"ADBE","stock","mega_cap_platforms","enterprise_software","creative_software"
"ADI","stock","semis_compute","",""
"ADM","stock","agriculture_food_inputs","",""
"ADSK","stock","creative_software","vertical_software","business_apps"
"AEHR","stock","semicap_equipment","",""
"AEM","stock","gold_silver_miners","gold",""
"AEO","stock","apparel_beauty_lifestyle","",""
"AEP","stock","power_grid_electrification","utilities_yield",""
"AES","stock","power_grid_electrification","utilities_yield",""
"AESI","stock","oil_services","oil_gas",""
"AFRM","stock","fintech_payments","fintech","payments"
"AG","stock","gold_silver_miners","silver",""
"AGCO","stock","industrial_automation","agriculture_food_inputs",""
"AI","stock","ai_apps_agents","ai_apps","business_apps"
"AIG","stock","insurance","",""
"AKAM","stock","cloud","cybersecurity",""
"ALAB","stock","semis_compute","",""
"ALB","stock","lithium_battery_materials","rare_earth_critical_minerals",""
"ALC","stock","medtech_devices","",""
"ALGM","stock","semis_compute","",""
"ALHC","stock","managed_care_insurance","managed_care","healthcare"
"ALK","stock","transport_logistics","airlines_travel",""
"ALL","stock","insurance","",""
"ALLY","stock","banks_brokers_exchanges","",""
"ALNY","stock","biotech","",""
"AMAT","stock","semicap_equipment","semis","advanced_packaging"
"AMBA","stock","drones_autonomy","",""
"AMD","stock","semis_compute","semis","ai_infrastructure"
"AME","stock","datacenter_infra","power_grid_electrification","industrial_automation"
"AMGN","stock","pharma_largecap","biotech","pharma"
"AMKR","stock","semicap_equipment","advanced_packaging",""
"AMPL","stock","enterprise_software","",""
"AMPX","stock","renewables_storage","lithium_battery_materials",""
"AMT","stock","real_estate_reits","datacenter_reits_towers",""
"AMZN","stock","mega_cap_platforms","cloud_neocloud","consumer_internet_marketplaces"
"ANET","stock","semis_compute","networking_optical","networking"
"APA","stock","oil_gas","oil_exploration","energy"
"APG","stock","datacenter_infra","power_grid_electrification",""
"APH","stock","semis_compute","electronics_components","industrial_automation"
"APLD","stock","cloud_neocloud","enterprise_software",""
"APO","stock","asset_managers_alts","",""
"APP","stock","ai_apps_agents","digital_ads_media","ai_apps"
"APPF","stock","enterprise_software","",""
"AR","stock","natural_gas","oil_gas",""
"ARCC","stock","asset_managers_alts","",""
"ARE","stock","real_estate_reits","",""
"ARES","stock","asset_managers_alts","",""
"ARKK","etf","etf_benchmarks","",""
"ARKX","etf","etf_benchmarks","",""
"ARM","stock","semis_compute","semis","ai_infrastructure"
"AROC","stock","oil_services","",""
"ARQQ","stock","quantum_computing","",""
"ARQT","stock","biotech_innovation","",""
"ARRY","stock","renewables_storage","solar",""
"ARWR","stock","biotech_innovation","",""
"ASAN","stock","enterprise_software","",""
"ASM","stock","copper_metals","",""
"ASML","stock","semis_compute","semicap_equipment",""
"ASTS","stock","space_satellites","aerospace","defense_aerospace"
"ASX","stock","semis_compute","advanced_packaging",""
"ATEC","stock","medtech_devices","",""
"ATI","stock","industrial_automation","defense_aerospace",""
"AU","stock","gold_silver_miners","",""
"AUR","stock","drones_autonomy","",""
"AVAV","stock","defense_aerospace","drones_autonomy",""
"AVGO","stock","mega_cap_platforms","semis_compute","semis"
"AVPT","stock","enterprise_software","",""
"AXON","stock","defense_aerospace","drones_autonomy","defense"
"AXP","stock","fintech_payments","payments","mega_banks"
"AZN","stock","pharma_largecap","",""
"BA","stock","defense_aerospace","space_satellites","aerospace"
"BABA","stock","consumer_internet_marketplaces","china_internet","consumer_internet"
"BAC","stock","banks_brokers_exchanges","mega_banks",""
"BAM","stock","asset_managers_alts","banks_brokers_exchanges",""
"BB","stock","cybersecurity","",""
"BBIO","stock","biotech_innovation","",""
"BBWI","stock","apparel_beauty_lifestyle","",""
"BBY","stock","retail_consumer","",""
"BCS","stock","banks_brokers_exchanges","",""
"BE","stock","cloud_neocloud","power_grid_electrification","utilities_yield"
"BEAM","stock","biotech_innovation","",""
"BEKE","stock","consumer_internet_marketplaces","china_internet",""
"BEN","stock","asset_managers_alts","",""
"BG","stock","agriculture_food_inputs","",""
"BHP","stock","copper_metals","copper",""
"BIDU","stock","consumer_internet_marketplaces","china_internet","consumer_internet"
"BIIB","stock","pharma_largecap","biotech",""
"BILI","stock","consumer_internet_marketplaces","gaming_sports_betting","china_internet"
"BILL","stock","enterprise_software","fintech_payments",""
"BITO","etf","etf_benchmarks","",""
"BJ","stock","retail_consumer","",""
"BKKT","stock","crypto_infrastructure","",""
"BKNG","stock","travel","consumer_internet",""
"BKR","stock","oil_services","energy",""
"BKSY","stock","space_satellites","",""
"BLD","stock","homebuilders_housing","",""
"BLDP","stock","renewables_storage","",""
"BLDR","stock","construction_infrastructure","homebuilders_housing",""
"BLK","stock","asset_managers_alts","asset_managers",""
"BLMN","stock","restaurants_food","retail_consumer",""
"BMNR","stock","crypto_infrastructure","",""
"BMY","stock","pharma_largecap","pharma",""
"BN","stock","asset_managers_alts","",""
"BORR","stock","oil_services","",""
"BP","stock","oil_integrated","oil_gas","energy"
"BROS","stock","restaurants_food","",""
"BSX","stock","medtech_devices","medtech",""
"BSY","stock","enterprise_software","",""
"BTDR","stock","cloud_neocloud","crypto_infrastructure",""
"BTG","stock","gold_silver_miners","",""
"BULL","stock","crypto_infrastructure","",""
"BUR","stock","banks_brokers_exchanges","",""
"BW","stock","nuclear_uranium","",""
"BX","stock","asset_managers_alts","asset_managers",""
"BXMT","stock","asset_managers_alts","",""
"C","stock","banks_brokers_exchanges","mega_banks",""
"CAI","stock","biotech_innovation","",""
"CAKE","stock","restaurants_food","",""
"CALM","stock","agriculture_food_inputs","",""
"CAMT","stock","semicap_equipment","advanced_packaging",""
"CARR","stock","datacenter_infra","power_grid_electrification",""
"CAT","stock","industrial_automation","robotics","energy"
"CAVA","stock","restaurants_food","",""
"CB","stock","insurance","",""
"CCI","stock","real_estate_reits","datacenter_reits_towers",""
"CCJ","stock","nuclear_uranium","uranium","nuclear"
"CCL","stock","airlines_travel","",""
"CCS","stock","homebuilders_housing","",""
"CDE","stock","gold_silver_miners","",""
"CDNS","stock","creative_software","dev_tools","vertical_software"
"CE","stock","industrial_automation","",""
"CEG","stock","power_grid_electrification","utilities_yield","nuclear_uranium"
"CELH","stock","apparel_beauty_lifestyle","",""
"CENX","stock","copper_metals","",""
"CERT","stock","enterprise_software","",""
"CF","stock","agriculture_food_inputs","",""
"CG","stock","asset_managers_alts","",""
"CGNX","stock","robotics","",""
"CHKP","stock","cybersecurity","",""
"CHRW","stock","transport_logistics","",""
"CHWY","stock","consumer_internet_marketplaces","retail_consumer",""
"CI","stock","managed_care_insurance","managed_care","healthcare"
"CIEN","stock","networking_optical","networking",""
"CIFR","stock","cloud_neocloud","crypto_infrastructure","enterprise_software"
"CL","stock","consumer_staples","",""
"CLF","stock","copper_metals","",""
