signal,corr_to_fwd_5d_return,observations
rank_stability_5d,0.03801381586341254,199120
leader_concentration,0.010388901455344251,199683
theme_heat_rank,0.005549310798777748,199785
theme_regime_rank,0.00322712569163544,199785
theme_rvol_10d,0.0007855415475165505,198550
theme_vs_spy_20d,-0.0014980305211783388,197885
theme_return_10d,-0.0018708689927810686,198835
rank_stability_10d,-0.001881315613551055,197505
theme_vs_spy_10d,-0.0018947457160151254,198835
theme_return_20d,-0.002547425915185092,197885
rank_stability_20d,-0.0027938112890305332,197030
theme_rvol,-0.0029300840236220664,198930
theme_vs_spy_5d,-0.0031301319499067383,199310
theme_breadth,-0.003156535805205389,199785
theme_return_5d,-0.0034155845717470726,199310
theme_regime_score,-0.004002663780145618,199785
theme_heat_score,-0.005859530776085603,199785
theme_score,-0.005859530776085603,199785
theme_breadth_10d,-0.006472332078611726,199405
theme_effective_breadth,-0.007199800098062855,199683
theme_breadth_20d,-0.010208096178502631,198930
entropy_score,-0.010950891516516322,199683
