ticker,asset_type,theme_1,theme_2,theme_3
SPY,etf,market,,
QQQ,etf,growth,,
IWM,etf,small_caps,,
TLT,etf,long_bonds,,
GLD,etf,gold,,
SLV,etf,silver,,
USO,etf,oil_exploration,,
SMH,etf,semis,,
XLK,etf,cloud,,
XLF,etf,mega_banks,,
XLV,etf,pharma,,
XLE,etf,oil_integrated,,
MSFT,stock,business_apps,cloud,ai_infrastructure
CRM,stock,workflow_software,business_apps,ai_apps
NOW,stock,workflow_software,cloud,ai_apps
INTU,stock,business_apps,fintech,
ADBE,stock,creative_software,business_apps,ai_apps
TEAM,stock,workflow_software,dev_tools,cloud
WDAY,stock,workflow_software,business_apps,cloud
ADSK,stock,creative_software,vertical_software,business_apps
CDNS,stock,creative_software,dev_tools,vertical_software
PTC,stock,creative_software,dev_tools,vertical_software
DOCU,stock,workflow_software,business_apps,cloud
HUBS,stock,workflow_software,business_apps,ai_apps
ZM,stock,workflow_software,cloud,
ORCL,stock,cloud,business_apps,vertical_software
SNOW,stock,cloud,dev_tools,data_centers
MDB,stock,cloud,dev_tools,
DDOG,stock,cloud,dev_tools,
NET,stock,cloud,cybersecurity,ai_infrastructure
AKAM,stock,cloud,cybersecurity,
CRWD,stock,cybersecurity,,
PANW,stock,cybersecurity,,
FTNT,stock,cybersecurity,,
ZS,stock,cybersecurity,cloud,
OKTA,stock,cybersecurity,,
TENB,stock,cybersecurity,,
CHKP,stock,cybersecurity,,
GEN,stock,cybersecurity,,
PLTR,stock,ai_apps,vertical_software,defense
APP,stock,ai_apps,consumer_internet,
DUOL,stock,ai_apps,consumer_internet,
SOUN,stock,ai_apps,small_cap_momentum,
AI,stock,ai_apps,business_apps,small_cap_momentum
PATH,stock,ai_apps,robotics,workflow_software
RDDT,stock,ai_apps,consumer_internet,
NVDA,stock,ai_infrastructure,semis,data_centers
AVGO,stock,semis,ai_infrastructure,data_centers
AMD,stock,semis,ai_infrastructure,
ARM,stock,semis,ai_infrastructure,
TSM,stock,semis,ai_infrastructure,
QCOM,stock,semis,networking,
MRVL,stock,semis,networking,ai_infrastructure
MPWR,stock,semis,ai_infrastructure,
KLAC,stock,semis,ai_infrastructure,
LRCX,stock,semis,memory,
AMAT,stock,semis,ai_infrastructure,
TER,stock,semis,robotics,
ON,stock,semis,autos,
MCHP,stock,semis,autos,
TXN,stock,semis,autos,
INTC,stock,semis,,
MU,stock,memory,semis,ai_infrastructure
WDC,stock,memory,storage,data_centers
STX,stock,storage,data_centers,
PSTG,stock,storage,data_centers,
NTAP,stock,storage,data_centers,
DELL,stock,storage,data_centers,ai_infrastructure
SMCI,stock,ai_infrastructure,data_centers,semis
ANET,stock,networking,data_centers,ai_infrastructure
CSCO,stock,networking,data_centers,
CIEN,stock,networking,,
VRT,stock,data_centers,ai_infrastructure,energy
ETN,stock,data_centers,energy,
PWR,stock,data_centers,energy,
GEV,stock,data_centers,energy,nuclear
CEG,stock,nuclear,energy,data_centers
VST,stock,energy,data_centers,nuclear
EQIX,stock,data_centers,cloud,
DLR,stock,data_centers,cloud,
AMZN,stock,retail,cloud,consumer_internet
GOOGL,stock,consumer_internet,cloud,ai_apps
META,stock,consumer_internet,ai_apps,
NFLX,stock,consumer_internet,,
PINS,stock,consumer_internet,ai_apps,
SNAP,stock,consumer_internet,ai_apps,
UBER,stock,travel,consumer_internet,
ABNB,stock,travel,consumer_internet,
BKNG,stock,travel,consumer_internet,
EXPE,stock,travel,consumer_internet,
MAR,stock,travel,,
