theme,other_theme,return_corr
consumer,restaurants,0.9944716369517176
advanced_packaging,semicap_equipment,0.9728949094640496
gold_silver_miners,silver,0.968173670973632
growth,mega_cap_platforms,0.9654648771619391
managed_care,managed_care_insurance,0.9602144227246131
oil_exploration,oil_gas,0.957410853988813
banks_brokers_exchanges,mega_banks,0.9562558552271218
memory,memory_storage,0.9502864539927126
semis,semis_compute,0.9490403122163754
etf_benchmarks,market,0.9484065385463597
pharma,pharma_largecap,0.9436701147897117
asset_managers,asset_managers_alts,0.9407132786057407
fintech,fintech_payments,0.9390558178569643
datacenter_infra,power_grid_electrification,0.9379503515553811
growth,market,0.9378513006694622
nuclear,nuclear_uranium,0.936934975848748
energy,oil_gas,0.9358489621547483
banks_brokers_exchanges,regional_banks,0.9346952132780397
gold,gold_silver_miners,0.9326773989594664
construction_infrastructure,datacenter_infra,0.9324527866842265
datacenter_infra,industrial_automation,0.9317002618708136
nuclear,uranium,0.9299665622101706
advanced_packaging,semis,0.9283636033267296
semicap_equipment,semis,0.9260439687733586
fintech,payments,0.9249601822270345
etf_benchmarks,small_caps,0.9214773709780294
fintech_payments,payments,0.9178622507414975
gold,silver,0.914899932045053
business_apps,enterprise_software,0.9128140383798791
ai_apps_agents,enterprise_software,0.9123831426971596
consumer,restaurants_food,0.9123529091387476
oil_gas,oil_integrated,0.9112552990054005
mega_banks,regional_banks,0.9095119570241256
defense,defense_aerospace,0.908680303209928
restaurants,restaurants_food,0.9084080447682107
electronics_components,semis_compute,0.9077301674825682
enterprise_software,workflow_software,0.906119042630058
market,mega_cap_platforms,0.9048585512608683
asset_managers,banks_brokers_exchanges,0.9027167828879656
semicap_equipment,semis_compute,0.9014373343849307
digital_ads_media,streaming_entertainment,0.9004322073197496
oil_gas,oil_services,0.8998878757813328
business_apps,vertical_software,0.8994521123887682
advanced_packaging,semis_compute,0.8979360416092528
dev_tools,enterprise_software,0.8968002809394414
airlines_travel,transport_logistics,0.8960039369591631
business_apps,workflow_software,0.8956623058615192
energy,oil_exploration,0.894122066541797
construction_infrastructure,industrial_automation,0.8915920277410204
healthcare,managed_care,0.8915251006258498
memory_storage,storage,0.8915011590742631
healthcare,managed_care_insurance,0.8902160918984475
construction_infrastructure,small_caps,0.8898691392690176
networking,semis_compute,0.8887910888563398
power_grid_electrification,utilities_yield,0.8883664827793305
construction_infrastructure,power_grid_electrification,0.8883582800745448
etf_benchmarks,power_grid_electrification,0.888113984472665
asset_managers,mega_banks,0.8873886568686189
copper,copper_metals,0.8871546623962903
datacenter_infra,small_caps,0.8859725248242137
ai_infrastructure,semis,0.8854915873802802
medtech,medtech_devices,0.8847974873059868
nuclear_uranium,uranium,0.8834933422563589
memory_storage,semis_compute,0.8834819911900591
energy,oil_integrated,0.8832627467755917
cybersecurity,enterprise_software,0.8819946988389562
datacenter_infra,etf_benchmarks,0.8818413504533057
creative_software,enterprise_software,0.8808902258574308
ai_infrastructure,semis_compute,0.8786764317744917
etf_benchmarks,growth,0.8776086575254067
airlines_travel,travel,0.8760718421505227
industrial_automation,power_grid_electrification,0.8760487471179416
creative_software,vertical_software,0.8755844504489757
power_grid_electrification,small_caps,0.8752088242192206
asset_managers_alts,etf_benchmarks,0.87133270645922
memory,semis_compute,0.8708475927991717
oil_exploration,oil_integrated,0.8693471974501943
asset_managers_alts,banks_brokers_exchanges,0.8687090035974518
dev_tools,workflow_software,0.8678150130771201
market,small_caps,0.8672071950915442
asset_managers,market,0.8666759064038821
business_apps,creative_software,0.8654614299074158
industrial_automation,small_caps,0.8646712918814016
construction_infrastructure,etf_benchmarks,0.8636546210795468
networking_optical,semis_compute,0.8633508168714739
etf_benchmarks,industrial_automation,0.8618895550877151
asset_managers_alts,small_caps,0.8608363451250308
energy,oil_services,0.8604049921129177
growth,semis,0.8603730047207464
asset_managers,etf_benchmarks,0.8602789053737748
cloud,cybersecurity,0.859960985953982
networking,semis,0.8594592999637407
oil_exploration,oil_services,0.8591484365409983
asset_managers_alts,market,0.858907017688622
cloud,dev_tools,0.8580095022760807
market,power_grid_electrification,0.8570382758630628
ai_apps_agents,business_apps,0.8568696787050885
banks_brokers_exchanges,small_caps,0.8553589852497523
banks_brokers_exchanges,industrial_automation,0.8539279726717243
construction_infrastructure,homebuilders_housing,0.853508720336002
growth,semis_compute,0.8529260785059912
enterprise_software,fintech_payments,0.852846655274148
datacenter_infra,market,0.8506780728792249
etf_benchmarks,payments,0.8480804395745708
asset_managers,small_caps,0.8472026326796804
electronics_components,networking_optical,0.8468862346160418
business_apps,mega_cap_platforms,0.8460770582656352
cloud,enterprise_software,0.8458138524454363
creative_software,mega_cap_platforms,0.8456417452029076
market,payments,0.8452735382867045
etf_benchmarks,semis_compute,0.841762249766045
enterprise_software,mega_cap_platforms,0.8416624396003082
etf_benchmarks,mega_cap_platforms,0.8412141360289469
memory,semicap_equipment,0.8409372999719512
memory,semis,0.8394265853308334
business_apps,dev_tools,0.838134208371213
consumer_internet_marketplaces,gaming_sports_betting,0.8376931001333404
ai_apps_agents,mega_cap_platforms,0.8364277038292223
electronics_components,semis,0.8359738281318408
aerospace,defense_aerospace,0.8358843908811473
asset_managers_alts,datacenter_infra,0.8357447795934861
networking,networking_optical,0.835723064955897
mega_cap_platforms,vertical_software,0.8356703703201823
renewables_storage,solar,0.8351716727519212
business_apps,cybersecurity,0.8342075416923048
etf_benchmarks,fintech_payments,0.8335202824074538
cloud_neocloud,crypto_infrastructure,0.8323024346589599
enterprise_software,vertical_software,0.8320158726220716
asset_managers_alts,power_grid_electrification,0.8313622461643597
etf_benchmarks,fintech,0.8311357621402885
defense_aerospace,etf_benchmarks,0.8309800652961752
electronics_components,semicap_equipment,0.8300732531830554
asset_managers,industrial_automation,0.8293538531446961
semis_compute,storage,0.829238197208132
ai_apps_agents,creative_software,0.8292047177584096
advanced_packaging,memory,0.8291423776738344
asset_managers,datacenter_infra,0.828986139058232
small_caps,transport_logistics,0.8286531065616216
cybersecurity,dev_tools,0.8276388544744375
market,semis_compute,0.8275279225679398
defense_aerospace,small_caps,0.8273311646103122
industrial_automation,market,0.8268480960808581
memory_storage,semis,0.8266484533519957
banks_brokers_exchanges,datacenter_infra,0.8261903546582765
advanced_packaging,electronics_components,0.8261082305384475
cloud,workflow_software,0.8258644888087601
asset_managers_alts,industrial_automation,0.8249248129285875
electronics_components,networking,0.8247786720895587
enterprise_software,fintech,0.824048364230649
consumer_internet,consumer_internet_marketplaces,0.8240469350918139
growth,networking,0.8229146730476257
asset_managers_alts,construction_infrastructure,0.8228237818165384
apparel_beauty_lifestyle,small_caps,0.8224386173366376
creative_software,growth,0.8218515872319481
banks_brokers_exchanges,etf_benchmarks,0.8211156196012593
etf_benchmarks,robotics,0.8204616626923561
ai_apps_agents,cybersecurity,0.8200935889496103
oil_integrated,oil_services,0.8188910325524437
consumer_internet_marketplaces,fintech,0.8184957631555081
asset_managers_alts,mega_banks,0.8184700002823814
consumer_internet_marketplaces,enterprise_software,0.8184322590421941
cybersecurity,workflow_software,0.8180973542225207
asset_managers_alts,payments,0.8178248594232709
