theme,entropy_score,theme_effective_breadth,leader_concentration
construction_infrastructure,2.701632549005222,14.904043455744606,0.1482647507821788
etf_benchmarks,2.641062262145024,14.028097212512408,0.205001968459202
oil_gas,2.6078816344130895,13.57027358164262,0.237873032104821
copper_metals,2.5972471421284546,13.426725246618807,0.21544694222495175
biotech_innovation,2.5876483129752375,13.29846098309311,0.18214337357341676
datacenter_infra,2.4737955932868863,11.86740531960602,0.26611528678787433
semis_compute,2.431131612541762,11.371743208958556,0.28172547891880567
ai_apps_agents,2.4150345935142417,11.19015745772847,0.1641214222879342
gold_silver_miners,2.3417947117538276,10.399884618947649,0.3227662986068149
apparel_beauty_lifestyle,2.341559487434879,10.397438600863758,0.22897802160577524
banks_brokers_exchanges,2.3382456184171034,10.363039879129015,0.2407135113838212
fintech_payments,2.2713732395375037,9.69270208079247,0.2621640030068066
homebuilders_housing,2.215509665829168,9.16607955886261,0.23909544675812713
transport_logistics,2.2094815876997744,9.110991918255516,0.42257104031557474
energy,2.1921881560100687,8.954786161607347,0.4109077622772499
consumer_internet_marketplaces,2.1903729485413166,8.938546110875627,0.45247937262526067
airlines_travel,2.1854831244165247,8.89494488051295,0.38760307585076775
china_internet,2.127402033068207,8.393033638938777,0.3395817072912663
pharma,2.104054037794797,8.199343071217397,0.24868046489330675
cloud_neocloud,2.096112115089838,8.134482422363,0.2943390281230425
pharma_largecap,2.0890869075395857,8.077536258549722,0.39107300571355863
biotech,2.0609338762643876,7.853300397693418,0.25654579215539786
cybersecurity,2.050286351664039,7.770125776218418,0.3828415702697944
fintech,2.039225750556448,7.684657053506153,0.2940636966794733
industrial_automation,2.038746925034359,7.680978324385415,0.48425819210287546
power_grid_electrification,2.0304016308641617,7.617145025050326,0.4679597666050725
real_estate_reits,2.0221165934015897,7.554297400121096,0.3179772887914659
gaming_sports_betting,2.016093781227224,7.508936024414596,0.2979961993422528
healthcare,1.9964502262302137,7.362873120725881,0.25386750072546965
renewables_storage,1.9895468486618837,7.312219469390991,0.29946853128739975
crypto_infrastructure,1.960679251655105,7.10415093294039,0.49377634785508984
restaurants_food,1.9552484099094531,7.0656739891526525,0.2998972852357332
nuclear_uranium,1.9513024620578387,7.037848143827432,0.2559832823724712
diagnostics_tools,1.9260886744726817,6.862615755135392,0.31954691594399043
medtech_devices,1.8730679488478337,6.508232726928777,0.3526533360342214
asset_managers_alts,1.8529160058036576,6.378391858599547,0.357440971560704
semicap_equipment,1.842160551866269,6.310156965178229,0.37365312261126366
autos,1.8147789220164081,6.139718670769494,0.25073282589573626
oil_services,1.7939702242584468,6.0132792033066655,0.31569672047680764
ai_apps,1.7345309691975928,5.666269525504307,0.2955215252235085
regional_banks,1.7204455394934344,5.587017146621065,0.3104330015488293
networking_optical,1.7181414109450912,5.574158760289741,0.4806703883060011
mega_cap_platforms,1.7137707199737355,5.54984899884964,0.4692102907631729
drones_autonomy,1.6998777880649205,5.473278450901042,0.4006068353002086
defense_aerospace,1.6700652813846268,5.312514594169908,0.6304602045409153
cloud,1.6606413144125924,5.262684798058648,0.29239089974302857
enterprise_software,1.6490180960775038,5.201869582558382,0.5816675183149858
medtech,1.6487148095203394,5.200292164658784,0.320490506914469
advanced_packaging,1.6356543967799075,5.132815796369798,0.44356953623596884
oil_exploration,1.628228128016086,5.09483931306836,0.35142842644705463
managed_care,1.6276720335014283,5.092006888494177,0.380960473231861
payments,1.6271588939657002,5.089394648722562,0.4268668553840756
managed_care_insurance,1.600606646918505,4.956038077845653,0.38381666512946955
quantum_computing,1.5972306220264247,4.939334581503367,0.284748412740547
semis,1.590831673863044,4.907828944527486,0.5589025212192715
asset_managers,1.574082883406958,4.82631329576995,0.31533427010349485
robotics,1.5622304875627873,4.769447583290638,0.49199154618504926
mega_banks,1.5602600588130255,4.760058979477151,0.32103295623913414
dev_tools,1.5578391951433848,4.748549462734893,0.29286880352108347
space_satellites,1.5283560338380573,4.61059093305515,0.45862624612967506
vertical_software,1.5030016577428253,4.495161777148639,0.3308093327081766
natural_gas,1.4885785110231484,4.430792717376984,0.44601578526708346
copper,1.4850707704968815,4.415277873130911,0.44207140240361514
utilities_yield,1.4827127008479914,4.404878606303358,0.5469743655187634
consumer_internet,1.456997259142443,4.293049240563175,0.4445857753855343
retail_consumer,1.4072674701282837,4.084778361332567,0.6460581230961351
insurance,1.4020196245444683,4.063398224144629,0.3930714337931984
networking,1.395686401203057,4.0377451347829805,0.49473891175371365
uranium,1.3936341127770855,4.029467014626478,0.43027023251134106
workflow_software,1.359463808113122,3.8941047545381697,0.4941061322877565
nuclear,1.3580735303232598,3.888694628846756,0.4258788505302196
creative_software,1.3112016417502317,3.71062988210009,0.5521924181147024
datacenter_reits_towers,1.2859162817020824,3.6179815291765953,0.41982740864744506
travel,1.2818150694093586,3.603173804421103,0.595439261775189
data_centers,1.2797296211060947,3.5956674015523755,0.5212666831580958
aerospace,1.2369942596749395,3.445242382222425,0.5033270713927219
gold,1.1871472267201,3.2777172728874495,0.5991158261219207
restaurants,1.159644560186293,3.188799648306948,0.4387237611535986
solar,1.1070007533181427,3.0252712392116186,0.6173956008124921
electronics_components,1.0678401019714725,2.909089373004381,0.664126191424977
oil_integrated,1.060108849305507,2.8866851858453053,0.5715393242114191
consumer_staples,1.0002130232574558,2.718860947389537,0.7564560695970752
memory,0.9376549367116744,2.553985133468057,0.5870413461193913
lithium_battery_materials,0.9092238564490898,2.4823950905550674,0.7641889709245019
ai_infrastructure,0.9051554222288993,2.4723161460842666,0.5388808654905994
consumer,0.8445499976047026,2.326930454652389,0.7450106511266371
agriculture_food_inputs,0.8402754709570146,2.3170051565049365,0.8283588452599739
rare_earth_critical_minerals,0.831375332962857,2.2964749870696273,0.7585658765220165
silver,0.8070672200333033,2.24132502507357,0.7918008066530983
memory_storage,0.7999717934699117,2.2254781545906264,0.7637547911817659
obesity_glp1_health,0.7632356292932586,2.1452060948793035,0.7312829177415857
digital_ads_media,0.7200149493863861,2.054463923389326,0.8479959929273376
storage,0.6474327808276417,1.9106295227693693,0.8352564768998125
streaming_entertainment,0.6054782343534802,1.8321281860464393,0.8675532552065888
retail,0.5774051267628032,1.7814098952540935,0.8646367961630287
defense,0.5500830762814757,1.7333970160643106,0.8943628936564157
additive_manufacturing,0.4458098333250402,1.561754444642965,0.8817065890722103
business_apps,0.3963494656761299,1.486388668619489,0.9212790860256472
growth,-0.0,1.0,1.0
hardware_devices,-0.0,1.0,1.0
long_bonds,-0.0,1.0,1.0
market,-0.0,1.0,1.0
small_caps,-0.0,1.0,1.0
